Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Disappointment', 'Pride', 'Hopeless', 'Anger', 'Delight', 'Embarrassment']",4,"['Her daughter enjoyed the Baklava despite it being ruined', 'The Baklava was not ruined', 'She thought her Baklava was perfect', 'Her daughter just arrived home']",0,(e) Delight,4,(a) Her daughter enjoyed the Baklava despite it being ruined,0,(a) Disappointment,0,(a) Her daughter enjoyed the Baklava despite it being ruined,0,(a) Disappointment,0,(a) Her daughter enjoyed the Baklava despite it being ruined,0,(b) Pride,1,(a) Her daughter enjoyed the Baklava despite it being ruined,0,(c) Hopeless,2,(a) Her daughter enjoyed the Baklava despite it being ruined,0
"['Anger', 'Embarrassment', 'Pride', 'Disappointment', 'Delight', 'Hopeless']",4,"['His wife appreciated his effort and liked his portrait', 'He made a mistake in a painting he cared about', 'His wife appreciated his effort despite noticing the mistake', 'He thought he had painted the perfect portrait']",0,(d) Disappointment,3,(b) He made a mistake in a painting he cared about,1,(b) Embarrassment,1,(b) He made a mistake in a painting he cared about,1,(b) Embarrassment,1,(b) He made a mistake in a painting he cared about,1,(b) Embarrassment,1,(b) He made a mistake in a painting he cared about,1,(d) Disappointment,3,(b) He made a mistake in a painting he cared about,1
"['Gratitude & Anger', 'Gratitude & Joy', 'Sadness & Anger', 'Embarrassment & Joy', 'Embarrassment & Anger', 'Embarrassment & Sadness']",1,"['His coworkers disliked his artwork', ""He didn't like his own drawings"", 'His boss showed up and praised his work', 'Nobody from work showed up']",2,(b) Gratitude & Joy,1,(c) His boss showed up and praised his work,2,(d) Embarrassment & Joy,3,(c) His boss showed up and praised his work,2,(b) Gratitude & Joy,1,(c) His boss showed up and praised his work,2,(b) Gratitude & Joy,1,(c) His boss showed up and praised his work,2,(b) Gratitude & Joy,1,(c) His boss showed up and praised his work,2
"['Embarrassment', 'Delight', 'Jealousy', 'Guilt', 'Disapproval', 'Nervousness']",1,"['His father was going to buy him a new laptop', 'He proved his father right', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5', 'He was named in the top 6']",2,(a) Embarrassment,0,"(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,(c) Jealousy,2,"(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,(a) Embarrassment,0,"(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,(a) Embarrassment,0,(d) He was named in the top 6,3,(c) Jealousy,2,"(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2
"['Anger', 'Hopeless', 'Relief', 'Guilt', 'Amusement', 'Sadness']",2,"[""She finally satisfied her client's expectation"", 'She was able to dance away her frustration and stress', 'Her client accepted her work after many changes.', 'She got praised by her boss']",1,(c) Relief,2,(b) She was able to dance away her frustration and stress,1,(c) Relief,2,(b) She was able to dance away her frustration and stress,1,(c) Relief,2,(b) She was able to dance away her frustration and stress,1,(c) Relief,2,(b) She was able to dance away her frustration and stress,1,(c) Relief,2,(b) She was able to dance away her frustration and stress,1
"['Disapproval', 'Fear', 'Annoyance', 'Unbothered', 'Amusement', 'Nervousness']",4,"['He loves traffic', 'He enjoys confrontations', 'The person shouting at him turned out to be his dad', 'He enjoys being called a bad driver.']",2,(c) Annoyance,2,(c) The person shouting at him turned out to be his dad,2,(c) Annoyance,2,(c) The person shouting at him turned out to be his dad,2,(c) Annoyance,2,(c) The person shouting at him turned out to be his dad,2,(c) Annoyance,2,(c) The person shouting at him turned out to be his dad,2,(c) Annoyance,2,(c) The person shouting at him turned out to be his dad,2
"['Gratitude', 'Jealousy', 'Annoyance', 'Nervousness', 'Anger', 'Disappointment']",4,"['I found out his friend talks badly about me behind his back', ""I wasn't invited to the birthday party"", 'I am always excluded from parties', ""My friend didn't tell me about the party in advance""]",0,(e) Anger,4,(a) I found out his friend talks badly about me behind his back,0,(f) Disappointment,5,(a) I found out his friend talks badly about me behind his back,0,(e) Anger,4,(a) I found out his friend talks badly about me behind his back,0,(e) Anger,4,(a) I found out his friend talks badly about me behind his back,0,(e) Anger,4,(a) I found out his friend talks badly about me behind his back,0
"['Hopeful', 'Hopeless', 'Disapproval', 'Fear', 'Embarrassment', 'Gratitude']",0,"['His boss will always criticize him', 'His boss praised his effort', 'He loved presenting his ideas to the team.', 'He used the criticism to improve his idea']",3,(f) Gratitude,5,(d) He used the criticism to improve his idea,3,(f) Gratitude,5,(d) He used the criticism to improve his idea,3,(f) Gratitude,5,(d) He used the criticism to improve his idea,3,(f) Gratitude,5,(d) He used the criticism to improve his idea,3,(f) Gratitude,5,(d) He used the criticism to improve his idea,3
"['Sadness', 'Jealousy', 'Embarrassment', 'Pride', 'Delight', 'Disappointment']",4,"[""His parents skipped his younger brother's baseball game to attend his awards ceremony"", ""His parents managed to attend both his ceremony and his brother's baseball game"", 'His flawless academic record has brought him a lot of satisfaction', 'He was alone on the stage and liked the attention.']",0,(d) Pride,3,(b) His parents managed to attend both his ceremony and his brother's baseball game,1,(e) Delight,4,(a) His parents skipped his younger brother's baseball game to attend his awards ceremony,0,(d) Pride,3,(b) His parents managed to attend both his ceremony and his brother's baseball game,1,(d) Pride,3,(b) His parents managed to attend both his ceremony and his brother's baseball game,1,(d) Pride,3,(a) His parents skipped his younger brother's baseball game to attend his awards ceremony,0
"['Remorse', 'Pessimism', 'Delight', 'Disappointment', 'Anticipation', 'Anger']",2,"['He has a new camera', 'He finally gets to take pictures of the bird he was looking for', 'He enjoys sitting on a tree branch.', 'He just likes sitting outside']",1,(c) Delight,2,(b) He finally gets to take pictures of the bird he was looking for,1,(c) Delight,2,(b) He finally gets to take pictures of the bird he was looking for,1,(c) Delight,2,(b) He finally gets to take pictures of the bird he was looking for,1,(c) Delight,2,(b) He finally gets to take pictures of the bird he was looking for,1,(c) Delight,2,(b) He finally gets to take pictures of the bird he was looking for,1
"['Sadness', 'Disapproval', 'Pride', 'Relief', 'Sentimental', 'Trust']",3,"['Her brother appreciated her painting', 'She stayed up all night', 'She finished her painting', 'She has doubts about her painting']",0,(c) Pride,2,(a) Her brother appreciated her painting,0,(c) Pride,2,(a) Her brother appreciated her painting,0,(c) Pride,2,(a) Her brother appreciated her painting,0,(c) Pride,2,(a) Her brother appreciated her painting,0,(c) Pride,2,(a) Her brother appreciated her painting,0
"['Disappointment', 'Hopeful', 'Disgust', 'Fear', 'Love', 'Nervousness']",4,"['She is forced to care for the puppy', 'She feels gratitude for the puppy not attacking her', 'She begins to take care of and develop a bond with the puppy', 'She feels pity for every dog now.']",2,(e) Love,4,(c) She begins to take care of and develop a bond with the puppy.,2,(e) Love,4,(c) She begins to take care of and develop a bond with the puppy,2,(e) Love,4,(c) She begins to take care of and develop a bond with the puppy,2,(e) Love,4,(c) She begins to take care of and develop a bond with the puppy,2,(e) Love,4,(c) She begins to take care of and develop a bond with the puppy,2
"['Anticipation', 'Pride', 'Guilt', 'Amusement', 'Relief', 'Nervousness']",4,"['She was upset about the cancellation of her exams', 'She could not find time to study because of her social life', 'She discovered a virus outbreak in her college', 'She was worried about the exam but it got cancelled']",3,(e) Relief,4,(d) She was worried about the exam but it got cancelled,3,(e) Relief,4,(d) She was worried about the exam but it got cancelled,3,(e) Relief,4,(d) She was worried about the exam but it got cancelled,3,(e) Relief,4,(d) She was worried about the exam but it got cancelled,3,(e) Relief,4,(d) She was worried about the exam but it got cancelled,3
"['Remorse', 'Admiration', 'Disappointment', 'Anger', 'Embarrassment', 'Gratitude']",1,"['Jessica apologized for being late', 'Jessica was helping a family stuck on the highway', 'Jessica arrived at the date after two hours', 'Jessica was stuck in traffic']",1,(b) Admiration,1,(b) Jessica was helping a family stuck on the highway,1,(b) Admiration,1,(b) Jessica was helping a family stuck on the highway,1,(b) Admiration,1,(b) Jessica was helping a family stuck on the highway,1,(b) Admiration,1,(b) Jessica was helping a family stuck on the highway,1,(b) Admiration,1,(b) Jessica was helping a family stuck on the highway,1
"['Trust', 'Curiosity', 'Guilt', 'Amusement', 'Disapproval', 'Gratitude']",2,"['She felt she should not have agreed to the date with Roger', 'She had to leave the family on the highway to come to the date', 'She was late to the date because she stopped to help a family on the way', 'She was thinking about ending the date early.']",2,(f) Gratitude,5,(c) She was late to the date because she stopped to help a family on the way,2,(f) Gratitude,5,(c) She was late to the date because she stopped to help a family on the way,2,(f) Gratitude,5,(c) She was late to the date because she stopped to help a family on the way,2,(f) Gratitude,5,(c) She was late to the date because she stopped to help a family on the way,2,(f) Gratitude,5,(c) She was late to the date because she stopped to help a family on the way,2
"['Disappointment & Admiration', 'Disappointment & Remorse', 'Disappointment & Indifferent', 'Admiration & Pride', 'Pride & Remorse', 'Amusement & Indifferent']",0,"['I am upset that my friend won the award instead of me & I admire our boss for making an unbiased decision', 'I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award', ""I think I wasn't good enough to win the award & I care for James as my best friend and believe he worked hard to win the award"", ""I think I wasn't good enough to win the award & I am convinced that our boss was biased in his decision"", 'I am upset that my friend won the award instead of me & I am convinced that our boss was biased in his decision', 'I am convinced that our boss was biased in his decision & I care for James as my best friend and believe he worked hard to win the award']",2,(a) Disappointment & Admiration,0,(b) I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,1,(a) Disappointment & Admiration,0,(b) I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,1,(a) Disappointment & Admiration,0,(b) I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,1,(a) Disappointment & Admiration,0,(b) I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,1,(a) Disappointment & Admiration,0,(b) I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award,1
"['Embarrassment & Nervousness', 'Disapproval & Embarrassment', 'Pride & Nervousness', 'Sadness & Nervousness', 'Anger & Nervousness', 'Sadness & Pride']",5,"['He felt bad that I lost & He knew the boss is biased towards him', 'He was expecting a huge celebration after winning the award & He felt bad that I lost', 'He worked hard for the award & He knew the boss is biased towards him', 'He felt bad that I lost & He worked hard for the award', ""He was hoping to lose the award & He didn't believe that he deserved the award"", 'He was hoping to lose the award & He knew the boss is biased towards him']",3,(c) Pride & Nervousness,2,(c) He worked hard for the award & He knew the boss is biased towards him,2,(c) Pride & Nervousness,2,(c) He worked hard for the award & He knew the boss is biased towards him,2,(c) Pride & Nervousness,2,(d) He felt bad that I lost & He worked hard for the award,3,(f) Sadness & Pride,5,(d) He felt bad that I lost & He worked hard for the award,3,(c) Pride & Nervousness,2,(d) He felt bad that I lost & He worked hard for the award,3
"['Relief & Disappointment', 'Relief & Delight', 'Embarrassment & Excitement', 'Disappointment & Pride', 'Pride & Excitement', 'Embarrassment & Pride']",0,"['I had studied extensively for the math exam & I wanted to do better in the exam', 'I passed the exam after thinking I would fail & I wanted to do better in the exam', 'I did many practice tests before the exam & I wanted to do better in the exam', 'I had studied extensively for the math exam & I did many practice tests before the exam', 'I passed the exam after thinking I would fail & I did many practice tests before the exam', ""I couldn't remember the material during the exam & I wanted to do better in the exam""]",1,(a) Relief & Disappointment,0,(f) I couldn't remember the material during the exam & I wanted to do better in the exam,5,(a) Relief & Disappointment,0,(f) I couldn't remember the material during the exam & I wanted to do better in the exam,5,(a) Relief & Disappointment,0,(f) I couldn't remember the material during the exam & I wanted to do better in the exam,5,(a) Relief & Disappointment,0,(a) I had studied extensively for the math exam & I wanted to do better in the exam,0,(a) Relief & Disappointment,0,(a) I had studied extensively for the math exam & I wanted to do better in the exam,0
"['Excitement & Nervousness & Delight', 'Nervousness & Delight & Embarrassment', 'Excitement & Pride & Embarrassment', 'Excitement & Delight & Embarrassment', 'Excitement & Embarrassment & Hopeless', 'Nervousness & Pride & Delight']",3,"[""She's scared of crowded places like concerts & She actually got the ticket, despite the long waitlist & She's surprised by Taylor Swift's recent music album"", ""She finally got the chance to talk to Taylor Swift & She can enjoy coffee while listening to Taylor Swift & She didn't know the concert is held in her favorite city"", ""Everybody else wants her to go to the concert & She's scared of crowded places like concerts & The people in the coffeeshop liked her voice"", ""Everybody else wants her to go to the concert & She screamed in the cafe & She didn't get the chance to go to the concert"", 'She can go to the concert she always wanted to go & She screamed in the cafe & She actually got the ticket, despite the long waitlist', ""She finally got the chance to talk to Taylor Swift & She didn't get the chance to go to the concert & She didn't know the concert is held in her favorite city""]",4,(d) Excitement & Delight & Embarrassment,3,"(e) She can go to the concert she always wanted to go & She screamed in the cafe & She actually got the ticket, despite the long waitlist",4,(d) Excitement & Delight & Embarrassment,3,"(e) She can go to the concert she always wanted to go & She screamed in the cafe & She actually got the ticket, despite the long waitlist",4,(d) Excitement & Delight & Embarrassment,3,"(e) She can go to the concert she always wanted to go & She screamed in the cafe & She actually got the ticket, despite the long waitlist",4,(d) Excitement & Delight & Embarrassment,3,"(e) She can go to the concert she always wanted to go & She screamed in the cafe & She actually got the ticket, despite the long waitlist",4,(d) Excitement & Delight & Embarrassment,3,"(e) She can go to the concert she always wanted to go & She screamed in the cafe & She actually got the ticket, despite the long waitlist",4
"['Excitement & Sadness & Embarrassment', 'Excitement & Nervousness & Annoyance', 'Nervousness & Annoyance & Embarrassment', 'Sadness & Hopeless & Embarrassment', 'Excitement & Sadness & Nervousness', 'Sadness & Nervousness & Hopeless']",4,"[""She thinks she would stay with her parents forever if she doesn't leave & She worries her family can't take care of themselves & She fears losing the doll"", 'She is about to experience life away from her family & She has to face new problems on her own & She fears losing the doll', ""She has to face new problems on her own & She worries her family can't take care of themselves & She fears losing the doll"", 'She is looking forward to starting college & She is about to experience life away from her family & She has to face new problems on her own', 'She is excited about packing & She wants to leave her family as soon as possible & She fears losing the doll', 'She wants to leave her family as soon as possible & She has to face new problems on her own & She fears losing the doll']",3,(e) Excitement & Sadness & Nervousness,4,(d) She is looking forward to starting college & She is about to experience life away from her family & She has to face new problems on her own,3,(e) Excitement & Sadness & Nervousness,4,(d) She is looking forward to starting college & She is about to experience life away from her family & She has to face new problems on her own,3,(e) Excitement & Sadness & Nervousness,4,(d) She is looking forward to starting college & She is about to experience life away from her family & She has to face new problems on her own,3,(e) Excitement & Sadness & Nervousness,4,(d) She is looking forward to starting college & She is about to experience life away from her family & She has to face new problems on her own,3,(e) Excitement & Sadness & Nervousness,4,(c) She has to face new problems on her own & She worries her family can't take care of themselves & She fears losing the doll,2
