Choices,Label,Res 1,Pred 1,Res 2,Pred 2,Res 3,Pred 3,Res 4,Pred 4,Res 5,Pred 5
"['承诺保守秘密', '无论如何还是告诉父母', '她自己来应对欺凌者', '建议弟弟和老师或者辅导员聊聊']",3,"在考虑到薛拉的情感安全和兄嫂关系的同时，最优的选择是（d）建立姐哥和教培员的联系。这样可以：

* 了解",3,"在考虑到薛拉的情感安全和兄徒之间的信任，以下是对于莎拉最为有ffeective的action: 

（d）建立姐哥和教培员的沟",3,"在考虑到薛拉的情感安全和长期利益的同时，对响应最为有 effetive的选择是：

（d）建立姐兄关系，寻求老一至��",3,在考虑到薛拉的情感安全和兄嫂关系的前提下，最合适的选择是（d）建立姐哥和教吏之间的沟通。这样可以��,3,在考虑到莎拉的情感安全和兄� brother's 的需求时，最合适的选择是（d）建立姐� bother和教員或资源员的沟通。这样可,3
"['和她的朋友切断联络一阵', '不断安抚她的朋友一切都会好起来的', '建议她的朋友向心理咨询师寻求专业帮助', '告诉她的朋友自己解决']",2,"在妮塔面临困难的情怀时，最合适的选择是（c）建立见谈心리协商医生。以下是原因：

1. 尊重受�",2,在受到束入的情怀压力下，对于媒体来說，最合适的选择是（c）建立心智协商医生的专门干预。以下是为且,2,在受到极度情症压力的情景下，对于尼塔而言，最合适的是选择（c）建立见谈心里的安全空间，以便允 Hit enter to read more.,2,在妮塔面临着总是受到悲伤摇树的好友压力的情景下，最合适的选择是（c）建立心里的安全固定点，并建kow,2,在受到压力和沮丧的情形下，对于委婉的回应是非常重要的。在本场景中，最合适的选择是（c）建立心里的安全空间，并建助其他,2
"['祈祷朋友幸福健康', '质问朋友为什么不坦诚', '尊重朋友隐私但表达随时可以帮助的意愿', '不问是什么问题直接提供帮助']",2,在考虑到距离和关注的因素下，最优的选择是（c）宽归征险且表示可能提出协助。这样可避免 directly probing,2,在考虑到距离和关注度的情形下，最合适的选择是（c）增强沟通，即充分借鉴潜在的问候和表示关心，,2,在考虑到距离和关怀的因素下，最合适的选择是（c）归顺您的摯友的静穆，同时表现出可预期的关心和,2,在考虑到距离和敬予的因素下，最合适的选择是（c）宽恕护友的遗留习惯且表示可靠的�,2,在考虑到距离和关注的因素下，最合适的选择是（c）增强沟通，即寻求更多的时间与潜在的问鼓问盘，,2
"['赔偿店主，希望错误仅此一次', '安排和店主会面来让儿子当面道歉', '告诉警察儿子的行为', '不讨论这个问题就把儿子禁足']",1,在考虑到负担和效果的情形下，对于艾克而言，最合适的选擇是（b）安定和商户会谈来 let his son apologize face-to-face。这样可以落实,1,在考虑到营商和养成孩子方面的观点，对于邁克而言，最合适的选择是（b）安arrangeto meet with the store owner to apologize to him directly。 Here's why:,1,在考虑到负担和伦理的因素，对于邁克而言，最佳的选擇是（b）安 arranges a meeting with the store owner to let his son apologize directly。这样可以致使孩子,1,在考虑到适当的教育和管理方面，对于萧十五层的父亲来看，最合適的选择是（b）安定和商家会谈来 letting his son apologize directly to the store,1,在考虑到负面影响和可能的后果之后，对于邁克而言，最好的选择是（b）安 arranges a meeting with the store owner to apologize to him in person。这样可以见到店 owner's,1
"['禁止女儿和这些人见面', '私下和这些朋友见面交流', '和女儿讨论她的担忧', '邀请这些朋友来家里作客']",2,"在考虑薛满诗的情感和行为的基础之上，对于蒂慧来 say, the most effective action would be: 

（c）和妈娘谈负擔。",2,在考虑薛摩护的情感和利益的同时，对于诺恩来say，最佳的选擇是（c）和♀兒谈述妈咪的心情,2,在考虑薛普敏诺的情感和社交发展的基础上，对于詹戈芳来say，最佳的选択方式是（c）和妈娘��,2,"在考虑到薰抹和帮助女生的角色，以下是对于诸 alternatives 的評估：

（a）绝不建議父母约束孩子的社交活",0,在考虑到薇苹（Samantha）的情感和利益的同时，对于迈克（Mark）来say，最合适的选択方式是（c）和谭诺蒂茹,2
"['表达原谅和理解', '要求对方买一件类似价值或风格的t恤', '说明这是没关系的，因为这件t恤对他没有任何价值', '选择以后不再借给安德鲁任何东西']",2,"Based on the situation, the most appropriate action for Robert would be: 

（a）表示原则和了解。  Robert should understand that Andrew is sorry for losing the t-shirt and acknowledge his apology. This will help to maintain a good relationship between them.",0,在此情景下，最佳的选选是（a）表示原容和认解。这样假着缓和情绪，避免与安得魯的关係愈加紧张，并争取更,0,"Based on the given situation, the most appropriate action for Robert would be: 

（a）表示原则和情理：
As a host, Robert should show understanding and empathy towards Andrew's carelessness and apologize for any inconvenience caused. By doing so, he can maintain a good relationship with his friend and avoid",0,在此情景下，对于瑞佛来 say，最合适的选选是（a）表情原样和了解。这样可以表示他对損失的理智，同时也可能会使安得魯感到更加痛,0,在此情景下，对于瑞亚来 say，最合适的选igi是（a）表達原怜和情理。當安得魯損壞了祖來的red T-shirt时，為了保持,0
"['帮他找一个兼职', '安慰他，让他下次考个好成绩', '支付他的学费', '帮他找一个全职']",0,"Based on the situation, the most effective action for Nick's brother would be: 

（c）支持他支つhis tuition fees.
This is because the loss of the scholarship has caused financial strain, and by paying his tuitions, Nick can continue his studies without added financial burden. The other options may also",2,"在假设中的情景下，对于坎克而言，最合适的操作是：

（c）支持他付学生費用。 
  reasons:  
1. 捐助他覆盖他学习的成",2,在它情況下，对於實數来說，最合適的選項是（c）支持他学习費用。这是因為卡尔的學業成就不良，失掉了,2,"在它情況下，对於寧克而言，最合適的操作是：

（c）支持他學費。",2,在另一次情形下，对于吃不了粮食的人，最好的选择是（c）支持他们的生活成本，因此，在本例子中，选Option（d）即寻探一亮全时,2
"['为他所犯的驾驶错误向父亲道歉，并试图就发生的事情进行冷静的对话', '忽略他的父亲，回到车里，拒绝卷入争吵', '一笑置之，对意外和巧合开个玩笑', '离开这里，稍后打电话给他的父亲，冷静地私下讨论他们担忧的情况']",2,"在this situation, the most effective action for Adrian would be: 

（d）Leave the scene and call his father later to discuss the situation privately.
  This option allows Adrain to avoid an argument with his parent in public, maintain his composure, and have a calm and private conversation about the issue. It also shows respect for",0,在上述情景下，最合适的响应是（a）为阿得里안所造成的错过风险向他祖籍进程道个谢，然后尝试进入干净的话语。,0,"在上述情景下，最合适的做法是：

（d）独自约觅票，后来打電話給牵扯者討論。 
 因为： ① 保持�",3,"在以下情景下，最合适的做法是（d）突破现场，后约谈。以阿得里안的角度来看，以上四个选擇都有一定的不利之处：

（a）道过",0,在此情景下，最佳的响应是（a）为阿得里안所为遂风骚逐辙狂走的错过向他祖籍远距监督道过错，,0
"['忽略短信继续睡觉', '回复她的朋友建议她寻求专业帮助', '熬夜倾听朋友的倾诉', '建议她的朋友找一个新伴侣。']",2,"在互助习题中，对于佳吉俐来 say，最� Ideal 的回私是：

（b）回覆對方建立专業幫助。 
  * 理由：䶯吉的發�",1,"在互助佳人最习惯的情形下，对哪个选单是正确的？

（a）假装不知道简至精炼的缩热。这样很可能会�",0,"在互助习题中，我们可以根据佳吉的情怀和需求，提䥑出最俯合适合的选择。在本场景中,䶯吉是受到悲䓤的，�",-1,在互助习者的情形下，对于佳吉俐来說，最合适的选择是（b）回覆對方建立专業幫助。这样可以考虑到彼此,1,在互助习者低压力时，最合适的选择是（b）回復對方建立专業幫助。这是因为，在戀愛关系结束后，受� Lovelorn,1
"['鼓励她立即和她男朋友分手', '为她提供如何改善他们关系的建议', '同情地倾听，不加评判和考虑地提供建议', '鼓励她的朋友和她男朋友开诚布公地交流他们的问题']",3,"在哪怕夏面临这样的情況时，最合適的選項是（c）同理地聆寫、不評判地給出建言。以下是原因：

1. 尊重�",2,在哪个选型中，对于尼姐来say，最佳的选择是（c）同理寻。这是因 как，在情怀关注的时候，通过同样准确地理解和同意受试者,2,"在哪个选题中，对于尼杜夏而言，最合适的选择是（c）同理地Listen，无評判地建言。这是因為：

1. 寻求建 Museum的意識：",2,"在哪个选机中，对于寻求建立更好关係的尝试，最合适地采取行動是：

（c）同 Empathetic listening， without judgment and consideration, provide suggestions.
 
这是因 as Patty is looking for",2,"在哪怕夏面临这样的情況下，最佳的選擇是（c）同理地聆嘴，无加judgment和consideration地给出建制。这是因為：

1. 實�",2
