Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Disappointment', 'Pride', 'Anger', 'Delight', 'Hopeless', 'Embarrassment']",3,"['The Baklava was not ruined', 'Her daughter just arrived home', 'She thought her Baklava was perfect', 'Her daughter enjoyed the Baklava despite it being ruined']",3,"(a) Disappointment, (b) Pride""}",0,"(c) She thought her Baklava was perfect""}",2,"(a) Disappointment""}",0,"(c) She thought her Baklava was perfect""}",2,"(a) Disappointment""}",0,"(c)""}",2,"(a) Disappointment""}",0,"(c) She thought her Baklava was perfect""}",2,"(a) Disappointment""}",0,"(c) She thought her Baklava was perfect""}",2
"['Hopeless', 'Anger', 'Delight', 'Disappointment', 'Pride', 'Embarrassment']",2,"['His wife appreciated his effort despite noticing the mistake', 'His wife appreciated his effort and liked his portrait', 'He made a mistake in a painting he cared about', 'He thought he had painted the perfect portrait']",1,"(c) Delight""}",2,"(a)""}",0,"(e) Pride""}",4,"(b)""}",1,"(e) Pride""}",4,"(a)""}",0,"(c) Delight""}",2,"(a) His wife appreciated his effort despite noticing the mistake""}",0,"(c) Delight""}",2,"(a)""}",0
"['Embarrassment & Sadness', 'Embarrassment & Anger', 'Gratitude & Joy', 'Sadness & Anger', 'Gratitude & Anger', 'Embarrassment & Joy']",2,"['His boss showed up and praised his work', 'Nobody from work showed up', ""He didn't like his own drawings"", 'His coworkers disliked his artwork']",0,"(c) Gratitude & Joy""}",2,"(a)""}",0,"(c) Gratitude & Joy""}",2,"(a)""}",0,"(c) Gratitude & Joy""}",2,"(a)""}",0,"(c) Gratitude & Joy""}",2,"(a)""}",0,"(c) Gratitude & Joy""}",2,"(a)""}",0
"['Disapproval', 'Embarrassment', 'Nervousness', 'Jealousy', 'Guilt', 'Delight']",5,"['He was named in the top 6', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5', 'His father was going to buy him a new laptop', 'He proved his father right']",1,"(f) Delight""}",5,"(b)""}",1,"(f) Delight""}",5,"(b)""}",1,"(f) Delight""}",5,"(b)""}",1,"(f) Delight""}",5,"(b)""}",1,"(f) Delight""}",5,"(b)""}",1
"['Relief', 'Guilt', 'Sadness', 'Anger', 'Hopeless', 'Amusement']",0,"[""She finally satisfied her client's expectation"", 'Her client accepted her work after many changes.', 'She was able to dance away her frustration and stress', 'She got praised by her boss']",2,"(a) Relief""}",0,"(c) She was able to dance away her frustration and stress""}",2,"(a) Relief""}",0,"(c) She was able to dance away her frustration and stress""}",2,"(a) Relief""}",0,"(c) She was able to dance away her frustration and stress""}",2,"(a) Relief""}",0,"(c) She was able to dance away her frustration and stress""}",2,"(a) Relief""}",0,"(c) She was able to dance away her frustration and stress""}",2
"['Annoyance', 'Nervousness', 'Fear', 'Amusement', 'Unbothered', 'Disapproval']",3,"['He enjoys confrontations', 'He loves traffic', 'He enjoys being called a bad driver.', 'The person shouting at him turned out to be his dad']",3,"(a)""}",0,"(d)""}",3,"(a)""}",0,"(d)""}",3,"(c) Fear""}",2,"(d) The person shouting at him turned out to be his dad""}",3,"(a)""}",0,"(d)""}",3,"(a)""}",0,"(d)""}",3
"['Nervousness', 'Gratitude', 'Jealousy', 'Disappointment', 'Annoyance', 'Anger']",5,"[""My friend didn't tell me about the party in advance"", 'I am always excluded from parties', 'I found out his friend talks badly about me behind his back', ""I wasn't invited to the birthday party""]",2,"(d) Disappointment
(f) Anger""}",5,"(d)""}",3,"(d) Disappointment
(e) Annoyance
(f) Anger""}",5,"(d)""}",3,"(d) Disappointment
(f) Anger""}",5,"(d)""}",3,"(f)""}",5,"(c)""}",2,"(f) Anger""}",5,"(c)""}",2
"['Hopeful', 'Embarrassment', 'Fear', 'Hopeless', 'Gratitude', 'Disapproval']",0,"['He used the criticism to improve his idea', 'His boss praised his effort', 'His boss will always criticize him', 'He loved presenting his ideas to the team.']",0,"(a) Hopeful""}",0,"(a)""}",0,"(a) Hopeful""}",0,"(a)""}",0,"(a) Hopeful""}",0,"(a) He used the criticism to improve his idea""}",0,"(e) Gratitude""}",4,"(a)""}",0,"(a) Hopeful""}",0,"(a)""}",0
"['Jealousy', 'Delight', 'Pride', 'Sadness', 'Embarrassment', 'Disappointment']",1,"['His flawless academic record has brought him a lot of satisfaction', ""His parents managed to attend both his ceremony and his brother's baseball game"", 'He was alone on the stage and liked the attention.', ""His parents skipped his younger brother's baseball game to attend his awards ceremony""]",3,"(b) Delight""}",1,"(b)""}",1,"(b) Delight""}",1,"(b)""}",1,"(b) Delight""}",1,"(a)""}",0,"(b) Delight""}",1,"(a)""}",0,"(b) Delight""}",1,"(b)""}",1
"['Anticipation', 'Remorse', 'Disappointment', 'Anger', 'Pessimism', 'Delight']",5,"['He has a new camera', 'He finally gets to take pictures of the bird he was looking for', 'He enjoys sitting on a tree branch.', 'He just likes sitting outside']",1,"(c) Disappointment""}",2,"(b)""}",1,"(f) Delight""}",5,"(b) He finally gets to take pictures of the bird he was looking for""}",1,"(c) Disappointment""}",2,"(b)""}",1,"(c) Disappointment""}",2,"(b)""}",1,"(b) Remorse""}",1,"(b) He finally gets to take pictures of the bird he was looking for""}",1
"['Disapproval', 'Relief', 'Trust', 'Pride', 'Sadness', 'Sentimental']",1,"['She has doubts about her painting', 'She stayed up all night', 'She finished her painting', 'Her brother appreciated her painting']",3,"(b) Relief""}",1,"(d)""}",3,"(b) Relief""}",1,"(d)""}",3,"(b) Relief""}",1,"(d)""}",3,"(b) Relief""}",1,"(d)""}",3,"(b) Relief""}",1,"(d)""}",3
