Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Disappointment', 'Anger', 'Pride', 'Delight', 'Embarrassment', 'Hopeless']",3,"['Her daughter enjoyed the Baklava despite it being ruined', 'She thought her Baklava was perfect', 'Her daughter just arrived home', 'The Baklava was not ruined']",0,Delight,3,Her daughter enjoyed the Baklava despite it being ruined,0,Disappointment,0,Her daughter enjoyed the Baklava despite it being ruined,0,Embarrassment,4,Her daughter enjoyed the Baklava despite it being ruined,0,Hopeless,5,Her daughter enjoyed the Baklava despite it being ruined,0,Disappointment,0,Her daughter just arrived home,2
"['Disappointment', 'Anger', 'Delight', 'Hopeless', 'Pride', 'Embarrassment']",2,"['His wife appreciated his effort despite noticing the mistake', 'His wife appreciated his effort and liked his portrait', 'He thought he had painted the perfect portrait', 'He made a mistake in a painting he cared about']",1,Anger,1,His wife appreciated his effort despite noticing the mistake,0,Disappointment,0,His wife appreciated his effort despite noticing the mistake,0,Delight,2,He made a mistake in a painting he cared about,3,Pride,4,He made a mistake in a painting he cared about,3,Anger,1,His wife appreciated his effort despite noticing the mistake,0
"['Gratitude & Joy', 'Embarrassment & Sadness', 'Embarrassment & Anger', 'Sadness & Anger', 'Gratitude & Anger', 'Embarrassment & Joy']",0,"['His boss showed up and praised his work', 'His coworkers disliked his artwork', 'Nobody from work showed up', ""He didn't like his own drawings""]",0,Embarrassment & Sadness,-1,His boss showed up and praised his work,0,Gratitude & Joy,-1,He didn't like his own drawings,3,Embarrassment & Sadness,-1,His boss showed up and praised his work,0,Embarrassment & Joy,-1,He didn't like his own drawings,3,Gratitude & Joy,-1,His boss showed up and praised his work,0
"['Guilt', 'Disapproval', 'Delight', 'Embarrassment', 'Jealousy', 'Nervousness']",2,"['He was named in the top 6', 'He proved his father right', 'His father was going to buy him a new laptop', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5']",3,Jealousy,4,He was named in the top 6,0,Delight,2,He was named in the top 6,0,Nervousness,5,His father was going to buy him a new laptop,2,Embarrassment,3,His father was going to buy him a new laptop,2,Delight,2,He proved his father right,1
"['Anger', 'Relief', 'Amusement', 'Hopeless', 'Sadness', 'Guilt']",1,"['She was able to dance away her frustration and stress', ""She finally satisfied her client's expectation"", 'She got praised by her boss', 'Her client accepted her work after many changes.']",0,Guilt,5,She finally satisfied her client's expectation,1,Hopeless,3,She was able to dance away her frustration and stress,0,Sadness,4,She was able to dance away her frustration and stress,0,Anger,0,She got praised by her boss,2,Relief,1,Her client accepted her work after many changes.,-1
"['Disapproval', 'Amusement', 'Fear', 'Nervousness', 'Annoyance', 'Unbothered']",1,"['He enjoys being called a bad driver.', 'He enjoys confrontations', 'He loves traffic', 'The person shouting at him turned out to be his dad']",3,Unbothered,5,The person shouting at him turned out to be his dad,3,Amusement,1,He enjoys being called a bad driver.,-1,Disapproval,0,The person shouting at him turned out to be his dad,3,Amusement,1,He enjoys being called a bad driver.,-1,Annoyance,4,He enjoys confrontations,1
"['Jealousy', 'Anger', 'Disappointment', 'Annoyance', 'Gratitude', 'Nervousness']",1,"['I found out his friend talks badly about me behind his back', ""I wasn't invited to the birthday party"", ""My friend didn't tell me about the party in advance"", 'I am always excluded from parties']",0,Anger,1,I found out his friend talks badly about me behind his back,0,Disappointment,2,I found out his friend talks badly about me behind his back,0,Gratitude,4,I wasn't invited to the birthday party,1,Nervousness,5,My friend didn't tell me about the party in advance,2,Annoyance,3,I found out his friend talks badly about me behind his back,0
"['Fear', 'Embarrassment', 'Hopeful', 'Hopeless', 'Gratitude', 'Disapproval']",2,"['He used the criticism to improve his idea', 'His boss praised his effort', 'His boss will always criticize him', 'He loved presenting his ideas to the team.']",0,Hopeless,3,His boss will always criticize him,2,Disapproval,5,He used the criticism to improve his idea,0,Embarrassment,1,His boss will always criticize him,2,Embarrassment,1,His boss will always criticize him,2,Embarrassment,1,He loved presenting his ideas to the team.,-1
"['Embarrassment', 'Pride', 'Jealousy', 'Sadness', 'Delight', 'Disappointment']",4,"[""His parents managed to attend both his ceremony and his brother's baseball game"", ""His parents skipped his younger brother's baseball game to attend his awards ceremony"", 'His flawless academic record has brought him a lot of satisfaction', 'He was alone on the stage and liked the attention.']",1,Embarrassment,0,He was alone on the stage and liked the attention.,-1,Jealousy,2,He was alone on the stage and liked the attention.,-1,Jealousy,2,He was alone on the stage and liked the attention.,-1,Sadness,3,His parents managed to attend both his ceremony and his brother's baseball game,0,Sadness,3,His parents skipped his younger brother's baseball game to attend his awards ceremony,1
"['Disappointment', 'Anger', 'Remorse', 'Delight', 'Pessimism', 'Anticipation']",3,"['He finally gets to take pictures of the bird he was looking for', 'He has a new camera', 'He just likes sitting outside', 'He enjoys sitting on a tree branch.']",0,Delight,3,He enjoys sitting on a tree branch.,-1,Remorse,2,He just likes sitting outside,2,Disappointment,0,He has a new camera,1,Delight,3,He enjoys sitting on a tree branch.,-1,Disappointment,0,He finally gets to take pictures of the bird he was looking for,0
"['Sadness', 'Pride', 'Disapproval', 'Relief', 'Trust', 'Sentimental']",3,"['She stayed up all night', 'She finished her painting', 'She has doubts about her painting', 'Her brother appreciated her painting']",3,Relief,3,Her brother appreciated her painting,3,Sentimental,5,She has doubts about her painting,2,Sentimental,5,She finished her painting,1,Disapproval,2,She stayed up all night,0,Sentimental,5,She finished her painting,1
"['Hopeful', 'Disappointment', 'Fear', 'Nervousness', 'Love', 'Disgust']",4,"['She is forced to care for the puppy', 'She feels gratitude for the puppy not attacking her', 'She begins to take care of and develop a bond with the puppy', 'She feels pity for every dog now.']",2,Love,4,She begins to take care of and develop a bond with the puppy,2,Disappointment,1,She begins to take care of and develop a bond with the puppy,2,Nervousness,3,She is forced to care for the puppy,0,Hopeful,0,She feels pity for every dog now.,-1,Disappointment,1,She is forced to care for the puppy,0
"['Anticipation', 'Amusement', 'Guilt', 'Relief', 'Nervousness', 'Pride']",3,"['She discovered a virus outbreak in her college', 'She could not find time to study because of her social life', 'She was upset about the cancellation of her exams', 'She was worried about the exam but it got cancelled']",3,Guilt,2,She discovered a virus outbreak in her college,0,Amusement,1,She discovered a virus outbreak in her college,0,Pride,5,She was upset about the cancellation of her exams,2,Guilt,2,She was worried about the exam but it got cancelled,3,Anticipation,0,She was upset about the cancellation of her exams,2
"['Remorse', 'Disappointment', 'Embarrassment', 'Admiration', 'Anger', 'Gratitude']",3,"['Jessica was helping a family stuck on the highway', 'Jessica arrived at the date after two hours', 'Jessica was stuck in traffic', 'Jessica apologized for being late']",0,Remorse,0,Jessica apologized for being late,3,Disappointment,1,Jessica was helping a family stuck on the highway,0,Admiration,3,Jessica arrived at the date after two hours,1,Gratitude,5,Jessica apologized for being late,3,Anger,4,Jessica arrived at the date after two hours,1
"['Guilt', 'Trust', 'Gratitude', 'Amusement', 'Disapproval', 'Curiosity']",0,"['She was late to the date because she stopped to help a family on the way', 'She was thinking about ending the date early.', 'She felt she should not have agreed to the date with Roger', 'She had to leave the family on the highway to come to the date']",0,Gratitude,2,She was thinking about ending the date early.,-1,Disapproval,4,She had to leave the family on the highway to come to the date,3,Trust,1,She was thinking about ending the date early.,-1,Gratitude,2,She was late to the date because she stopped to help a family on the way,0,Gratitude,2,She was thinking about ending the date early.,-1
"['Admiration & Pride', 'Amusement & Indifferent', 'Disappointment & Remorse', 'Disappointment & Indifferent', 'Disappointment & Admiration', 'Pride & Remorse']",4,"['I am upset that my friend won the award instead of me & I am convinced that our boss was biased in his decision', 'I am convinced that our boss was biased in his decision & I care for James as my best friend and believe he worked hard to win the award', 'I am upset that my friend won the award instead of me & I admire our boss for making an unbiased decision', 'I am upset that my friend won the award instead of me & I care for James as my best friend and believe he worked hard to win the award', ""I think I wasn't good enough to win the award & I care for James as my best friend and believe he worked hard to win the award"", ""I think I wasn't good enough to win the award & I am convinced that our boss was biased in his decision""]",4,Disappointment & Indifferent,-1,I think I wasn't good enough to win the award & I care for James as my best friend and believe he worked hard to win the award,-1,Disappointment & Indifferent,-1,I am upset that my friend won the award instead of me & I admire our boss for making an unbiased decision,-1,Amusement & Indifferent,-1,I am convinced that our boss was biased in his decision & I care for James as my best friend and believe he worked hard to win the award,-1,Admiration & Pride,-1,I think I wasn't good enough to win the award & I care for James as my best friend and believe he worked hard to win the award,-1,Amusement & Indifferent,-1,I am convinced that our boss was biased in his decision & I care for James as my best friend and believe he worked hard to win the award,-1
