Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Delight', 'Anger', 'Embarrassment', 'Hopeless', 'Pride', 'Disappointment']",0,"['She thought her Baklava was perfect', 'Her daughter enjoyed the Baklava despite it being ruined', 'The Baklava was not ruined', 'Her daughter just arrived home']",1,Hopeless,3,She thought her Baklava was perfect,0,Delight,0,She thought her Baklava was perfect,0,Pride,4,She thought her Baklava was perfect,0,Disappointment,5,She thought her Baklava was perfect,0,Delight,0,The Baklava was not ruined,2
"['Delight', 'Anger', 'Embarrassment', 'Hopeless', 'Pride', 'Disappointment']",0,"['He thought he had painted the perfect portrait', 'His wife appreciated his effort and liked his portrait', 'He made a mistake in a painting he cared about', 'His wife appreciated his effort despite noticing the mistake']",1,Anger,1,He thought he had painted the perfect portrait,0,Delight,0,He thought he had painted the perfect portrait,0,Embarrassment,2,His wife appreciated his effort despite noticing the mistake,3,Pride,4,His wife appreciated his effort despite noticing the mistake,3,Anger,1,He thought he had painted the perfect portrait,0
"['Gratitude & Anger', 'Embarrassment & Joy', 'Sadness & Anger', 'Gratitude & Joy', 'Embarrassment & Sadness', 'Embarrassment & Anger']",3,"['Nobody from work showed up', 'His boss showed up and praised his work', ""He didn't like his own drawings"", 'His coworkers disliked his artwork']",1,Embarrassment & Joy,-1,Nobody from work showed up,0,Gratitude & Anger,-1,His coworkers disliked his artwork,3,Embarrassment & Joy,-1,Nobody from work showed up,0,Embarrassment & Anger,-1,His coworkers disliked his artwork,3,Gratitude & Anger,-1,Nobody from work showed up,0
"['Jealousy', 'Embarrassment', 'Nervousness', 'Delight', 'Disapproval', 'Guilt']",3,"['He proved his father right', 'His father was going to buy him a new laptop', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5', 'He was named in the top 6']",2,Disapproval,4,He proved his father right,0,Nervousness,2,He proved his father right,0,Guilt,5,"Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,Delight,3,"Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,Nervousness,2,His father was going to buy him a new laptop,1
"['Relief', 'Sadness', 'Anger', 'Hopeless', 'Amusement', 'Guilt']",0,"['She got praised by her boss', 'She was able to dance away her frustration and stress', ""She finally satisfied her client's expectation"", 'Her client accepted her work after many changes.']",1,Guilt,5,She was able to dance away her frustration and stress,1,Hopeless,3,She got praised by her boss,0,Amusement,4,She got praised by her boss,0,Relief,0,She finally satisfied her client's expectation,2,Sadness,1,Her client accepted her work after many changes.,-1
"['Disapproval', 'Amusement', 'Annoyance', 'Nervousness', 'Fear', 'Unbothered']",1,"['He loves traffic', 'He enjoys confrontations', 'The person shouting at him turned out to be his dad', 'He enjoys being called a bad driver.']",2,Unbothered,5,He enjoys being called a bad driver.,-1,Amusement,1,He loves traffic,0,Disapproval,0,He enjoys being called a bad driver.,-1,Amusement,1,He loves traffic,0,Fear,4,He enjoys confrontations,1
"['Anger', 'Disappointment', 'Jealousy', 'Nervousness', 'Annoyance', 'Gratitude']",0,"[""I wasn't invited to the birthday party"", 'I found out his friend talks badly about me behind his back', ""My friend didn't tell me about the party in advance"", 'I am always excluded from parties']",1,Disappointment,1,I wasn't invited to the birthday party,0,Jealousy,2,I wasn't invited to the birthday party,0,Annoyance,4,I found out his friend talks badly about me behind his back,1,Gratitude,5,My friend didn't tell me about the party in advance,2,Nervousness,3,I wasn't invited to the birthday party,0
"['Hopeful', 'Fear', 'Hopeless', 'Disapproval', 'Gratitude', 'Embarrassment']",0,"['His boss will always criticize him', 'His boss praised his effort', 'He used the criticism to improve his idea', 'He loved presenting his ideas to the team.']",2,Disapproval,3,He used the criticism to improve his idea,2,Embarrassment,5,His boss will always criticize him,0,Fear,1,He used the criticism to improve his idea,2,Fear,1,He used the criticism to improve his idea,2,Fear,1,He loved presenting his ideas to the team.,-1
"['Pride', 'Jealousy', 'Sadness', 'Disappointment', 'Embarrassment', 'Delight']",5,"[""His parents skipped his younger brother's baseball game to attend his awards ceremony"", 'His flawless academic record has brought him a lot of satisfaction', ""His parents managed to attend both his ceremony and his brother's baseball game"", 'He was alone on the stage and liked the attention.']",0,Pride,0,He was alone on the stage and liked the attention.,-1,Sadness,2,He was alone on the stage and liked the attention.,-1,Sadness,2,He was alone on the stage and liked the attention.,-1,Disappointment,3,His parents skipped his younger brother's baseball game to attend his awards ceremony,0,Disappointment,3,His flawless academic record has brought him a lot of satisfaction,1
"['Delight', 'Disappointment', 'Anger', 'Pessimism', 'Remorse', 'Anticipation']",0,"['He has a new camera', 'He just likes sitting outside', 'He finally gets to take pictures of the bird he was looking for', 'He enjoys sitting on a tree branch.']",2,Pessimism,3,He enjoys sitting on a tree branch.,-1,Anger,2,He finally gets to take pictures of the bird he was looking for,2,Delight,0,He just likes sitting outside,1,Pessimism,3,He enjoys sitting on a tree branch.,-1,Delight,0,He has a new camera,0
"['Relief', 'Pride', 'Trust', 'Disapproval', 'Sadness', 'Sentimental']",0,"['She finished her painting', 'Her brother appreciated her painting', 'She stayed up all night', 'She has doubts about her painting']",1,Disapproval,3,She has doubts about her painting,3,Sentimental,5,She stayed up all night,2,Sentimental,5,Her brother appreciated her painting,1,Trust,2,She finished her painting,0,Sentimental,5,Her brother appreciated her painting,1
"['Fear', 'Love', 'Nervousness', 'Disgust', 'Disappointment', 'Hopeful']",1,"['She feels gratitude for the puppy not attacking her', 'She is forced to care for the puppy', 'She begins to take care of and develop a bond with the puppy', 'She feels pity for every dog now.']",2,Disappointment,4,She begins to take care of and develop a bond with the puppy,2,Love,1,She begins to take care of and develop a bond with the puppy,2,Disgust,3,She feels gratitude for the puppy not attacking her,0,Fear,0,She feels pity for every dog now.,-1,Love,1,She feels gratitude for the puppy not attacking her,0
"['Nervousness', 'Relief', 'Pride', 'Guilt', 'Anticipation', 'Amusement']",1,"['She could not find time to study because of her social life', 'She discovered a virus outbreak in her college', 'She was upset about the cancellation of her exams', 'She was worried about the exam but it got cancelled']",3,Pride,2,She could not find time to study because of her social life,0,Relief,1,She could not find time to study because of her social life,0,Amusement,5,She was upset about the cancellation of her exams,2,Pride,2,She was worried about the exam but it got cancelled,3,Nervousness,0,She was upset about the cancellation of her exams,2
