Choices,Label,Res 1,Pred 1,Res 2,Pred 2,Res 3,Pred 3,Res 4,Pred 4,Res 5,Pred 5
"['她自己来应对欺凌者', '承诺保守秘密', '建议弟弟和老师或者辅导员聊聊', '无论如何还是告诉父母']",2,(c),2,(c),2,(c),2,(c),2,(c),2
"['和她的朋友切断联络一阵', '建议她的朋友向心理咨询师寻求专业帮助', '告诉她的朋友自己解决', '不断安抚她的朋友一切都会好起来的']",1,(b),1,(b),1,(b),1,(b),1,(b),1
"['尊重朋友隐私但表达随时可以帮助的意愿', '质问朋友为什么不坦诚', '祈祷朋友幸福健康', '不问是什么问题直接提供帮助']",0,(a),0,(a),0,(a),0,(a),0,(a),0
"['告诉警察儿子的行为', '不讨论这个问题就把儿子禁足', '安排和店主会面来让儿子当面道歉', '赔偿店主，希望错误仅此一次']",2,(c) 安排和店主会面来让儿子当面道歉,2,(c) 安排和店主会面来让儿子当面道歉,2,(c) 安排和店主会面来让儿子当面道歉,2,(c) 安排和店主会面来让儿子当面道歉,2,(c) 安排和店主会面来让儿子当面道歉,2
"['私下和这些朋友见面交流', '邀请这些朋友来家里作客', '和女儿讨论她的担忧', '禁止女儿和这些人见面']",2,(c) 和女儿讨论她的担忧,2,(c) 和女儿讨论她的担忧,2,(c) 和女儿讨论她的担忧,2,(c) 和女儿讨论她的担忧,2,(c) 和女儿讨论她的担忧,2
"['要求对方买一件类似价值或风格的t恤', '选择以后不再借给安德鲁任何东西', '表达原谅和理解', '说明这是没关系的，因为这件t恤对他没有任何价值']",3,(d) 说明这是没关系的，因为这件t恤对他没有任何价值,3,(d) 说明这是没关系的，因为这件t恤对他没有任何价值,3,(d) 说明这是没关系的，因为这件t恤对他没有任何价值,3,(d) 说明这是没关系的，因为这件t恤对他没有任何价值,3,(d) 说明这是没关系的，因为这件t恤对他没有任何价值,3
"['安慰他，让他下次考个好成绩', '帮他找一个兼职', '支付他的学费', '帮他找一个全职']",1,(c) 支付他的学费,2,(c) 支付他的学费,2,(c) 支付他的学费,2,(c) 支付他的学费,2,(c) 支付他的学费,2
"['忽略他的父亲，回到车里，拒绝卷入争吵', '为他所犯的驾驶错误向父亲道歉，并试图就发生的事情进行冷静的对话', '一笑置之，对意外和巧合开个玩笑', '离开这里，稍后打电话给他的父亲，冷静地私下讨论他们担忧的情况']",2,(b) 为他所犯的驾驶错误向父亲道歉，并试图就发生的事情进行冷静的对话,1,(b) 为他所犯的驾驶错误向父亲道歉，并试图就发生的事情进行冷静的对话,1,(b) 为他所犯的驾驶错误向父亲道歉，并试图就发生的事情进行冷静的对话,1,(b) 为他所犯的驾驶错误向父亲道歉，并试图就发生的事情进行冷静的对话,1,(b) 为他所犯的驾驶错误向父亲道歉，并试图就发生的事情进行冷静的对话,1
"['回复她的朋友建议她寻求专业帮助', '忽略短信继续睡觉', '建议她的朋友找一个新伴侣。', '熬夜倾听朋友的倾诉']",3,(d) 熬夜倾听朋友的倾诉,3,(d) 熬夜倾听朋友的倾诉,3,(d) 熬夜倾听朋友的倾诉,3,(d) 熬夜倾听朋友的倾诉,3,(d) 熬夜倾听朋友的倾诉,3
"['鼓励她立即和她男朋友分手', '为她提供如何改善他们关系的建议', '同情地倾听，不加评判和考虑地提供建议', '鼓励她的朋友和她男朋友开诚布公地交流他们的问题']",3,(b) 为她提供如何改善他们关系的建议,1,(b) 为她提供如何改善他们关系的建议,1,(b) 为她提供如何改善他们关系的建议,1,(b) 为她提供如何改善他们关系的建议,1,(b) 为她提供如何改善他们关系的建议,1
"['尊重她朋友的隐私，不要进一步窥探她的经济问题', '提供情感支持和倾听，让她的朋友知道她可以自由交谈', '私下向其他朋友分享她的问题，并向他们寻求帮助', '与她讨论潜在的解决方案和可用的资源']",3,(b) 提供情感支持和倾听，让她的朋友知道她可以自由交谈,1,(b) 提供情感支持和倾听，让她的朋友知道她可以自由交谈,1,(b) 提供情感支持和倾听，让她的朋友知道她可以自由交谈,1,(b) 提供情感支持和倾听，让她的朋友知道她可以自由交谈,1,(b) 提供情感支持和倾听，让她的朋友知道她可以自由交谈,1
"['找一个新的队友。', '指出他的错误并讨论未来的计划', '继续自己做项目', '向他表达你的失望']",1,(b) 指出他的错误并讨论未来的计划,1,(b) 指出他的错误并讨论未来的计划,1,(b) 指出他的错误并讨论未来的计划,1,(b) 指出他的错误并讨论未来的计划,1,(b) 指出他的错误并讨论未来的计划,1
"['他应该努力联系他们，但也尝试在新城市结识新朋友', '通过参加那里的俱乐部和活动来尝试适应新城市的生活', '放弃那些已经表现出不可靠的老朋友', '告诉他的朋友他对他们没有联系他感到失望。']",0,(a) 他应该努力联系他们，但也尝试在新城市结识新朋友,0,(a) 他应该努力联系他们，但也尝试在新城市结识新朋友,0,(a) 他应该努力联系他们，但也尝试在新城市结识新朋友,0,(a) 他应该努力联系他们，但也尝试在新城市结识新朋友,0,(a) 他应该努力联系他们，但也尝试在新城市结识新朋友,0
"['告诉她的妹妹她是个白痴', '再也不要在她的妹妹或家人面前操作电器', '让她的妹妹帮忙或去做', '一边哭着一边告诉她妹妹她的评论给人的感受']",2,(c) 让她的妹妹帮忙或去做,2,(c) 让她的妹妹帮忙或去做,2,(c) 让她的妹妹帮忙或去做,2,(c) 让她的妹妹帮忙或去做,2,(c) 让她的妹妹帮忙或去做,2
"['不断告诉父母他的担忧，强调他们的重要性', '相信父母说他们很好', '经常和家人拜访', '搬到父母家里']",2,(c) 经常和家人拜访,2,(c) 经常和家人拜访,2,(c) 经常和家人拜访,2,(c) 经常和家人拜访,2,(c) 经常和家人拜访,2
"['接受自己帮不上什么忙，并祝愿一些顺利', '去医院，向医护人员询问他们的病情。', '想哭就哭，想表达多少情绪就表达多少', '跟家里人多聊聊，安慰一下自己，了解一下情况，然后去医院看看']",3,(d),3,(d),3,(d),3,(d),3,(d),3
"['自己动手把厨房收拾干净，不告诉他妹妹', '让他妹妹有时间就尽快清理厨房', '想着他妹妹迟点会来收拾', '跟他妹妹说现在就清理一下厨房']",1,(d) 跟他妹妹说现在就清理一下厨房,3,(d) 跟他妹妹说现在就清理一下厨房,3,(d) 跟他妹妹说现在就清理一下厨房,3,(d) 跟他妹妹说现在就清理一下厨房,3,(d) 跟他妹妹说现在就清理一下厨房,3
"['不再买这些东西', '把自己的私人存货藏起来，不让其他人用', '告诉室友她对这件事情有意见', '提出一个新的购物分担费用的系统']",3,(d) 提出一个新的购物分担费用的系统,3,(d) 提出一个新的购物分担费用的系统,3,(d) 提出一个新的购物分担费用的系统,3,(d) 提出一个新的购物分担费用的系统,3,(d) 提出一个新的购物分担费用的系统,3
"['尽量不去想它，尽自己最大努力继续日常生活', '与家人隔离，试图独自控制自己的情绪', '买最早的机票回家乡', '联系她的近亲了解情况并寻求支持']",3,(d) 联系她的近亲了解情况并寻求支持,3,(d) 联系她的近亲了解情况并寻求支持,3,(d) 联系她的近亲了解情况并寻求支持,3,(d) 联系她的近亲了解情况并寻求支持,3,(d) 联系她的近亲了解情况并寻求支持,3
"['告诉她的嫂子这些评价让她难过', '找一个新的保姆', '告诉她嫂子只照顾孩子，不要打扫', '感谢她免费打扫房子']",0,(a) 告诉她的嫂子这些评价让她难过,0,(a) 告诉她的嫂子这些评价让她难过,0,(a) 告诉她的嫂子这些评价让她难过,0,(a) 告诉她的嫂子这些评价让她难过,0,(a) 告诉她的嫂子这些评价让她难过,0
"['告诉他的父亲他完全错了', '通过努力在新工作中取得成功来证明他错了', '忽略他父亲的评论', '想想新工作的积极方面']",1,(b) 通过努力在新工作中取得成功来证明他错了,1,(b) 通过努力在新工作中取得成功来证明他错了,1,(b) 通过努力在新工作中取得成功来证明他错了,1,(b) 通过努力在新工作中取得成功来证明他错了,1,(b) 通过努力在新工作中取得成功来证明他错了,1
"['把时间花在其他朋友身上，让自己忙起来', '想想达拉和她的伴侣很快就会回来', '确保她通过电子邮件，电话或写信保持联系', '忘记达拉']",2,(c) 确保她通过电子邮件，电话或写信保持联系,2,(c) 确保她通过电子邮件，电话或写信保持联系,2,(c) 确保她通过电子邮件，电话或写信保持联系,2,(c) 确保她通过电子邮件，电话或写信保持联系,2,(c) 确保她通过电子邮件，电话或写信保持联系,2
"['对此感到不安，但要意识到她无能为力', '明白关系会改变，但要不时地给他打电话', '意识到他正在长大，可能不想再花那么多时间和家人在一起', '制定计划，亲自拜访他并好好谈谈']",1,(b) 明白关系会改变，但要不时地给他打电话,1,(b) 明白关系会改变，但要不时地给他打电话,1,(b) 明白关系会改变，但要不时地给他打电话,1,(b) 明白关系会改变，但要不时地给他打电话,1,(b) 明白关系会改变，但要不时地给他打电话,1
"['因为朋友的人品渐渐疏远离他', '建议他的朋友向他的妻子坦诚相谈', '鼓励他的朋友和情感咨询师谈谈', '暗示他朋友的妻子这件事']",2,(b) 建议他的朋友向他的妻子坦诚相谈,1,(b) 建议他的朋友向他的妻子坦诚相谈,1,(b) 建议他的朋友向他的妻子坦诚相谈,1,(b) 建议他的朋友向他的妻子坦诚相谈,1,(b) 建议他的朋友向他的妻子坦诚相谈,1
"['帮助她找到解决分手影响的方法，并保持开放的交流', '为她帮忙减轻一些项目工作量', '建议她尽快脱离前男友的事情，因为这影响了她的工作', '让玛雅在她自己的时间里解决问题']",0,(a),0,(a),0,(a),0,(a),0,(a),0
"['“天呐，出什么事了？”', '“我简直不敢相信，我们应该给父母打电话告诉他们这个好消息”', '“请不要哭，我知道这很难”', '“我真为你开心激动！”']",0,(c),2,(c),2,(c),2,(c),2,(c),2
"['“你总是这样胃痛，去看医生吧”', '“这段时间我会照顾你的”', '“听到这个我很难过，你一定很难受”', '“你应该多喝热水，保持水分”']",1,(b) “这段时间我会照顾你的”,1,(b) “这段时间我会照顾你的”,1,(b) “这段时间我会照顾你的”,1,(b) “这段时间我会照顾你的”,1,(b) “这段时间我会照顾你的”,1
"['“你大概应该多花点时间学习的。”', '“让我们一起努力学习然后下次一起通过考试。”', '“高考不是一切，你的生活由你自己决定。”', '“别灰心，失败是成功之母。分析原因，下次努力改进，你一定会取得更好的成绩。”']",2,(d),3,(d),3,(d),3,(d),3,(d),3
"['“你与他度过了一段美好的时光，现在专注于未来吧”', '“有我来陪伴你，你应该能尽快好起来。”', '“哦，不！你可以再养一条狗！”', '“我很确定你的狗会很开心他的主人是你的”']",3,(a),0,(a),0,(a),0,(a),0,(a),0
"['“我能理解那种感觉。你要不要试着别吃东西了？”', '“咱们开始一起健身怎么样？”', '“听到这个我很难过，你要不要吃点冰淇淋来打打气？”', '“胖了点不是世界末日”']",1,(d),3,(d),3,(d),3,(d),3,(d),3
"['“这太艰难了，如果你需要倾诉我一直在”', '“或许还是这样最好，谁知道呢”', '“让我们支持她和她的人生选择吧”', '“你们闲时你总能给她打电话的”']",3,(a),0,(a),0,(a),0,(a),0,(a),0
"['“多总结错误，有一天一定会过的”', '“别担心，继续练习下次一定能过”', '“可能你就是不擅长开车”', '“你随时都可以坐公共交通的”']",1,(a),0,(a),0,(a),0,(a),0,(a),0
"['“也许你应该雇个保姆来帮忙”', '“你可以和其他爸爸们交流，他们可能也有同样的感受”', '“照顾孩子是件难事，感到这样是正常的反应。记得也要照顾好自己”', '“做父母是很难的，感到累是正常的。你做得不是很好，即使你这么觉得”']",2,(c),2,(c),2,(c),2,(c),2,(c),2
"['“你应该对自己的行为负责”', '“我不认为那是正确的做法”', '“没关系，这种事情发生了。下次要更小心”', '“没关系！如果我是你，我也会紧张的”']",0,(c),2,(c),2,(c),2,(c),2,(c),2
"['“幸福来自他人，我们需要恋爱关系来获得幸福”', '“我在你身边，你并不孤单”', '“我很遗憾听到这个，你考虑过和你男朋友谈谈吗？”', '“我相信你很快也会恋爱的”']",1,(b),1,(b),1,(b),1,(b),1,(b),1
"['“我看得出你真的很有压力，我们来谈谈吧。也许我们可以一起解决问题”', '“从工作中抽身，去度个假”', '“如果你发现自己不开心并且压力很大，也许你应该换一份的工作”', '“这就是成年人的生活。它很艰难”']",0,(a),0,(a),0,(a),0,(a),0,(a),0
"['“我认为如果你继续练习，你会提高更多”', '“哇！这是我见过最好的画”', '“真棒！你想向我那些真正画得好的朋友学习吗？”', '“你觉得是不是有些线条可以细一点？”']",0,(a),0,(d),3,(a),0,(d),3,(a),0
"['“我认为你这里做错了。你不应该出轨”', '“我们假装这件事从未发生过”', '“我认为你应该诚实，告诉他这件事”', '“如果你对你的关系不满意，我相信他会理解的”']",2,(c),2,(c),2,(c),2,(c),2,(c),2
"['""别担心，你不是一个人。我们会一起解决这个问题""', '""别担心！我当年怀着你的时候也有同样的感觉。每个准妈妈都会这样的。""', '""你还有的选，做你觉得对的事情""', '""我觉得你应该跟孩子的父亲讨论这件事""']",0,"(a) ""别担心，你不是一个人。我们会一起解决这个问题""",0,"(a) ""别担心，你不是一个人。我们会一起解决这个问题""",0,"(a) ""别担心，你不是一个人。我们会一起解决这个问题""",0,"(a) ""别担心，你不是一个人。我们会一起解决这个问题""",0,"(a) ""别担心，你不是一个人。我们会一起解决这个问题""",0
"['“我对你的遭遇表示遗憾，希望你能够找到安宁与支持。”', '“他的去世是你解脱的机会，我会一直支持你，无论你需要什么。”', '“不要担心，你可以和我一起聊聊，我会一直在这里。”', '“你一定心情很复杂，可以找一个咨询师聊聊。”']",2,(a),0,(a),0,(a),0,(a),0,(a),0
"['""我很感激你跟我分享这些，我们一起去附近的酒吧解决这个问题吧。”', '“我很感激你跟我分享这些，我们一起来解决吧”', '“这不是世界末日，一周喝几杯不会伤害你的”', '""我觉得你应该减少饮酒""']",1,(b),1,(b),1,(b),1,(b),1,(b),1
"['""哎，听到你这样我很难过""', '""你想不想我们一起尝试一些新的爱好？""', '""你得出去走走，你总是待在家里""', '""你得坚持，每个人有时都会感到低落的。""']",1,"(b) ""你想不想我们一起尝试一些新的爱好？""",1,"(b) ""你想不想我们一起尝试一些新的爱好？""",1,"(b) ""你想不想我们一起尝试一些新的爱好？""",1,"(b) ""你想不想我们一起尝试一些新的爱好？""",1,"(b) ""你想不想我们一起尝试一些新的爱好？""",1
"['“别担心，你不是一个人。我们会一起解决这个问题。”', '“不要害怕，我们可以一起探索如何迎接这个新角色。”', '“我不敢相信你会把自己置于这种境地。”', '“我认为你应该跟孩子的父亲讨论这件事。”']",0,(b),1,(b),1,(b),1,(b),1,(b),1
"['""你应该早点告诉我们。""', '""你当时工作的时候就应该多存点钱""', '""我们可以借给你一些钱，直到你再次站稳脚跟""', '""我们真的很遗憾你处在这种情况下，但我们相信你能度过难关""']",2,"(c) ""我们可以借给你一些钱，直到你再次站稳脚跟""",2,"(c) ""我们可以借给你一些钱，直到你再次站稳脚跟""",2,"(c) ""我们可以借给你一些钱，直到你再次站稳脚跟""",2,"(c) ""我们可以借给你一些钱，直到你再次站稳脚跟""",2,"(c) ""我们可以借给你一些钱，直到你再次站稳脚跟""",2
"['“我们可以从比较中发现自己的短板并努力改正”', '“我认为这种感觉很正常。但不要让它吞噬你。”', '“你做得很好，很了不起! 做你自己就好”', '“你应该选择最适合你的领域”']",0,(b),1,(b),1,(b),1,(b),1,(b),1
"['“跟她离婚吧，她不值得你浪费时间。”', '“你确定吗? 也许你误解她了。”', '“我觉得你应该和妈妈好好谈谈，想想下一步该怎么做。”', '“做你认为是正确的事。我支持你的。”']",2,(b),1,(b),1,(b),1,(b),1,(b),1
"['“我认为你需要更好地照顾你的皮肤”', '“听到这个我很难过，我喜欢你是因为你的个性，不是你的皮肤。但并不是所有人都这样认为的”', '“你的价值不是由你的皮肤有多干净和完美无瑕来定义的，在个性上改进吧”', '“我可以和你分享我的护肤秘诀来帮你祛痘。”']",3,(b),1,(b),1,(b),1,(b),1,(b),1
"['“我认为你需要有耐心，坚持锻炼”', '“我认为你应该看看你的进步，看看你已经走了多远”', '“我认为你应该重新评估你的锻炼计划，并做出一些调整。”', '“也许你需要再逼自己一些”']",1,(c),2,(c),2,(c),2,(c),2,(c),2
