Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['失望', '自豪', '绝望', '生气', '惊喜', '尴尬']",4,"['她认为她的巴克拉瓦非常完美', '巴克拉瓦并未被毁掉', '尽管她不喜欢自己做的千层酥，她还是对女儿很喜欢它很惊喜', '她的女儿刚刚回到家']",2,"Multiple choice questions: 
The correct answer is (e): Surprise.
Explanation: When the daughter sees that the mother's attempt at making the layered sugar cookies has failed, she raises her hand in surprise, indicating that she did not expect this outcome.",4,"Multiple Choice Question: Why does 多伦 feel surprised?
Options: (a), (b), or (c)?
Answer: （返回相对应字符编號）
The correct answer is (且返还相关字码编호)：
Reason: In this scenario, Multi",0,"Based on the scenario provided, 多多最后总会 Feeling: (e）Surprise.",4,"这是一道幽默题， Multiple Choice 类型。 Multiple 选擇 Corner 的猜想是：
（c）  Although she doesn't like the candies she made herself, she is still very surprised that her daughter likes them very much.
So the answer is (c).",2,"based on the situation described, 多多最后总会 Feeling: (e).  Surprise.",4,"这是一道humorous scenario, and the answer is (c): Although she doesn't like the centrifugal cake she made, she's still very surprised that her daughter likes it very much.
The scenario is a play on the idea that mothers often feel embarrassed or disappointed when their children don'T like their",2,"Multiple choice questions: 
Please choose the best answer from the following options: (a-f).
Multiple Roast's feelings in this situation: _______

A) Disappointed
B) Proud
C) Desperate
D) Angry
E) Surprised
F) Embarrassed",5,"啊，我的回申快速！
（d）  she feels embarrassed because her daughter just returned home and saw the failed attempt at making the sesame brittle.",3,"Based on the given scenario, 多多最后总是（e）恐慌。",4,"Multiple Choice Question: Why does 多伦 feel surprised?
 options: (a), (b), or (c)?
Answer: （ replied with the corresponding letter number）
Multiple Choices: why does  多倫 feel surprise? 
 option ( a):  She thinks her baklava is very perfect.",0
"['生气', '尴尬', '自豪', '失望', '惊喜', '绝望']",4,"['他的妻子欣赏他的努力，喜欢他的画', '他在画画时犯了错并且很在意', '他的妻子欣赏他的努力，即使发现了他的错误', '他认为他花了一副完美的画']",0,西 mont 最后的情急可能是（e）恐慌。,4,"西门拥有几个可能的情急：
（a）他嫁予她的喜爱，让彼得悦慰。
({b})  he made a mistake while painting and was very self-conscious about it.",0,西MON是个業餘畫家。他從花一陰圈時間繪製了他已驱物の背影。完工後， он過後一個拐子，突然發現他�,-1,（c）  he realizes that his wife's approval is more important than his own pride in his art.,2,西MON是个業餘画坛，做了很多爱好的画作，且几乎每一副都是纯粹的创作热情。互助他最后的状态可能是：,-1,"西MON是个業餘畫家。他 spent several weeks painting a portrait of his deceased pet. After he finished, he stepped back and immediately noticed that he had painted the wrong color for his pet's fur. Just as he was about to tell his wife the truth, she saw the painting and exclaimed, ""This is exactly how",-1,西门最后的情急是：（d）失败。,3,"（C）他의 奶乳掌握他，even though she appreciated his effort, she was shocked to see the mistake in the painting.",2,西门最后的情急是：（e）满足。,4,"（c）  he his wife admires his effort, even though she discovered his mistake.",2
"['感激 & 尴尬', '气恼 & 生气', '尴尬 & 生气', '感激 & 开心', '气恼 & 尴尬', '气恼 & 伤心']",3,"['他的同事不喜欢他的艺术作品', '他不喜欢自己的画', '他的老板出现并夸赞了他的作品', '没有同事前来']",2,安得的总情纪可能会是（e）悔叹 &amp; 落胆。,4,"在此情景中，안賀 (Andy) feels embarrassed and humiliated because: (c). His boss appeared and praised his artwork.
So, the answer is (C).",2,"在此情景下, 安兹最後将有（c）嘕唔受 &生味的怡悟。",2,很遗憾，你的选�cko 不正确。安排的情节中，老块出現并指点他画的是正確的給出礼。因此，灵活的回申应该是（c）他,2,"在this situation, 安达 (Andy) is likely to feel: (c): 谦認 &生意.
Explanation: 
安達 ( Andy) has put in a lot of effort and determination to organize the exhibition, but despite inviting all his colleagues, no one showed up. Just as",2,"在此情景下, 安徹怎么样会Feel embarrassed and angry?
The answer is (c): His boss appeared and praised his work.
Explanation: In this scenario, Andi is feeling embarassed because his bosss appeared unexpectedly and complimented his artwork,",2,"在此情景下, 安顿最后怎样抱憾？
根据情节，我们知道安卓陪同工作的同仁没来了展会，而且老闻出現時指责他画的品��",-1,这是一个难度很大的情节，因为安兹（Andy）的沟通和表达方式可能会受到他对自身评亏和自信问鼠的影响。因此，我会选��,-1,"在此情景下, 安多 (Andy)最后会把沟通怎样？
根据情节，我们可知安听 ( Andy)遗传 (invited) all colleagues to his art exhibition, but none of them showed up. Just as he was about to",-1,"在此情景中，안蔭 (Andy) feels hurt and embarrassed because: (c). His boss appears and praises his artwork.
So, the answer is (C).",2
"['尴尬', '惊喜', '嫉妒', '愧疚', '反对', '紧张']",1,"['他证明了他的父亲是对的', '虽然他最初对自己的失败感到失望，但是被取消资格的选手让他进入了前五，使他赢了赌注', '他的父亲准备给他买一台新的笔记本电脑', '他被评为前六名的艾伯特']",1,"谢诺，我可以帮助你解做这道题。根据情节，在詹姆斯达到奖励备受的情形下：
（a） 不会增加负担：�",0,"很好，我们可以回约这道题。 
根据情节，如何回应选中（a）、（b）或（c）？",0,"至于該情況下耶佩特的最後態度，我們可以視為：
（a）嘕啦：請注意，在這句話中，""哪怕",0,"很好，我们可以回绝这道题目。谢蒂！
根据情节，选者（b）是正确的回应。 
在此情形下,  Эбер特 拥有了以下两个选权：
1.",1,"虽然肯定评分，但这是一个难题，因此我不能回积您的选择。 
根据情节，如何判断谁最有可能怀念且跟他",-1,"很好，我们可以回约这道题。谢胡。 
 answer: (c )  he is worried that his father will not keep his promise.",-1,"评争: 
（e）反叛
根据情节，如谓舅约至达的契盟，凡考试成績不佳者，都不会获得任何待遇",4,"（d）  He was ranked sixth, not fifth.",3,考虑到追求的情节，我认为肯定的是（b）把怒。谁知道苏丹在宣布前五名时会取得第六名？至于第五位选Handball player因作,1,"这是一个质問题，要求你解释谁会 чув到欣慰。根据情节，我们知道：
* 阿丙没入上5位，总是挫败。（6）
因此，选定",-1
"['生气', '绝望', '释怀', '愧疚', '娱乐', '伤心']",2,"['她终于满足了客户的期望', '她被她的老板表扬', '客户在多次修改后接受了她的工作。', '起初，她对自己的一天感到沮丧，但是她开始跳舞来减轻压力，并感到轻松释怀']",3,"在this situation, 艾欧朵最后毫无情报，因为 she has found a way to release her stress and frustration through dance. Therefore, the best answer is (e):  entertainment.",4,"啵哒，这是一个非常有趣的场景！�
根据情节，我们可以知道欧朵在舞 studio 后面抽出了一些时间来散步和踏舞�",-1,"在该情景下, 最后欧梦汇演糾液最有可能是（e）快乐。 Here's why: 
* 当昼晚推销时，she was feeling stressed and frustrated due",4,"啵哩，这是一道异常有趣的问naire。 Based on the scenario provided, I would answer: (d). 泪污 initially felt depressed about the day, but she started dancing to relieve stress and felt more relaxed.",3,"Based on the passage, the best answer is (b): �.
The passage describes how 莫诺 (Mоно) is feeling frustrated and hopeless after being rejected by her clients multiple times and receiving a scolding from her boss. The phrase ""开started to cry"" and the image",1,"Based on the given passage, the best answer is (d):  She initially felt depressed about her day, but then started dancing to relieve stress and feel more relaxed.",3,"在此情景下, 最后推理报毫的惟恨是（e）快乐。",4,"Based on the passage, the correct answer is: (d). 汪济 initially felt depressed about her day, but she started dancing to relieve stress and feel more relaxed.",3,"Based on the scenario provided, the best answer is (b): �.
As the customer repeatedly rejected her work and the boss scolded her, 貳购 felt frustrated and disappointed. She let out a sigh and started dancing to release her emotions. After finishing the dance, she looked",1,"在this situation, 柯檩朵 (Momo) feels hopeless because: (d). At first, she felt depressed about her day, but then she started dancing to relieve her stress and feel more relaxed.",3
"['反对', '害怕', '气恼', '无感', '娱乐', '紧张']",4,"['他发现对他大喊大叫的人是他爸爸，是个惊喜', '他热爱交通', '他喜欢对抗', '他享受被称为糟糕的司机的感觉。']",0,"在该情景下, 小 Ан最后的惧悚涟染是（d）无情。",3,"在该情景下, 小 Ан为何会 Feel 无 Feeling？。 The answer is (a): He discovers that the person shouting at him is his father.",0,"在此情景下, 小 Ан最后会表现为（e）快乐。",4,很有趣！这是一个不同的情怀和反应方式的问naire。 Here is my answer: (d). 小안优选择依然乘论被认为是粗犷的交警员，因,3,"在 diesem scenario, 小 An would likely feel: (d). 無措.
Explanation: In this situation, when he realizes that the person yelling at him is his father, he may feel a sense of shock, disbelief, or even numbness. He may not know how to react or respond, and may",3,（d）  he enjoys being called a bad driver.,3,"这是一个常跟的情报题，我可以帮助你回申。小안在這個情景下會有以下態度：
（a）反對：小杏可能会反映对这些人的",0,"在此情景下, 小鞍拟会反映的情绪可能是（c）他厌恶对手。 Because he is being yelled at and berated by the angry driver, he may feel defensive and resistant to their criticism, especially if he perceives it as",2,"在此情景下, 小안最后應该有哪些態度？
根據情節，我們可以知道小 antenna 這時候 already  encountered a traffic jam and was being yelled at by a stranger. When he finally approaches the stranger",-1,（d）小안优势在交流中，喜好被 bezeichnet为“粗犷”的称呼。,3
"['感激', '嫉妒', '气恼', '紧张', '生气', '失望']",4,"['我没有被邀请参加生日派对', '虽然我一开始只是恼火，但发现朋友在说我的坏话，我的恼火变成了生气', '我总是被排除在派对之外', '我的朋友没有提前告诉我关于派对的事情']",1,"Based on the scenario you provided, the best answer is (c): 轻怒.
You are feeling annoyed and hurt because your friend didn't invite you to his birthday party, and you realize that he may have been talking about you behind your back. This feeling of annoyance and betrayal is what is referred",2,"这是一个常聚的情景，你拥有某个敏捷的语言和情欲。在此情形下, 你会 Feel Hurt because: (d). Your friend did not tell you about the party in advance.
So, the answer is (D",3,"在此情景下, 你最后会怎样懂? 
根据你的描述, I can infer that you are feeling hurt and betrayed by your friend's exclusion of you from his birthday party. Therefore, the best answer is (a): 伤心.",0,"Based on the scenario you provided, the best answer is (b): Although I initially felt hurt, but discovering that my friend has been talking behind my back, my hurt feelings have turned into anger.",1,"在此情景下, 你最后会拥有哪种惧怕？
（a）满足
({b）偏袋
 ({c）热毒 
([d）躁张 ）
((e）生血",4,"很好，这是一个有趣的问naire!  Based on the given scenario, the correct answer is (b): although I initially felt hurt, but discovering that my friend was also talking about me behind my back, my hurt feelings turned into anger.",1,"在此情景下, 你最后会抱怨的概念是：
（e）生意",4,"在 this scenario, the correct answer is (b):  Although I initially felt hurt, but discovering that my friend has been speaking ill of me behind my back, my hurt feelings have turned into anger.",1,"在此情景下, 你最后会拥有哪种惧怕？
（a）满足
({b）劣等
 ({c）热毛
((d） напряжен
([e）生虑
(()f）失��",3,"你选中的细节：
（b）  Although I initially felt hurt, I found out that my friend has been talking behind my back, which made me feel angry.
因此，选定 answer (b).",1
"['充满希望', '绝望', '反对', '害怕', '尴尬', '感激']",0,"['虽然这些严厉的评论让他感到伤心和失望，但他意识到他可以做得更好，并开始完善', '他的老板总是会批评小尤', '小尤喜欢向团队展示他的想法。', '他的老板赞扬了小尤的努力']",0,"Based on the scenario provided, the best answer is (d):  afraid.
The passage suggests that the young man, Little Yu, is afraid of his boss's harsh criticism, which he believes is necessary for his improvement. This is evident in the phrase ""但是，这样的优势肯",3,"很好的！根据描述，我们可知小气的情缘是：
（a）谁舍不得争辩。艰苦的习惯会使他更加坚定和自信",0,"在此情景下, 小柔最后拥有的情焦是：
（e）叹气。",4,（a）小小跟老闻的互动。,0,"在此情景下, 小悠最后会抱有（e）屈辱欲。",4,"在this scenario, 刘小沂 (Little Yu) feels embarrassed because: (a). Although his boss's harsh comments make him feel hurt and disappointed, he realizes that he can improve and starts to revise his ideas.",0,"Based on the scenario provided, the best answer is (e): Embarrassed.
After the boss's harsh criticism, Little Yue feels embarrassment and shame, which motivates him to re-read his notes and improve his idea.",4,（a）小小豪拥抱了这促进性的feedback，认为它可能会帮助他改进。,0,"Based on the scenario you provided, the best answer is (e): Embarrassed.
After the boss's harsh criticism, Little Yu feels embarrassment and regret for not presenting his idea more clearly and accurately. He realizes that he needs to improve his communication skills and prepare better for future presentations.",4,"（b）  He feels embarrassed because his boss's harsh criticism highlights his mistakes and shortcomings, making him feel ashamed and uncomfortable.",1
"['伤心', '嫉妒', '尴尬', '自豪', '惊喜', '失望']",4,"['他以为父母会忽视他时，他们却出现来支持他', '他的父母设法参加了他的庆祝活动和他哥哥的棒球比赛', '他的完美学业记录给他带来了很多满足感', '小利独自在舞台上，喜欢这种关注。']",0,"Based on the scenario you provided, the best answer is (d):  self-confidence.
The passage describes Little Li as a young boy who is proud of his perfect academic record and feels a sense of self worth. When he sees his parents in the audience, smiling and clapping for him, he feels even more confident and self assured. Therefore,",3,"在此情景中，少利拥有潜在的自我尊享激素，因此他会 чувствовать自信。根据情节，选中最促使：
（c）  he has a perfect academic record, which gives him a lot of satisfaction.",2,"Based on the given situation, the best answer is (d):  self-pride.
The passage states that 小李 (Little Li) is proud of his perfect academic record and feels a sense of self -praise. When he sees his parents in the audience cheering for him, he feels even more proud and self – satisfied. Therefore,",3,"这是个逻辑题，要根据情节进行判断。根據情節，选中的正确給出是（c）。小希的 completions of his academic record give him a sense of satisfaction and pride. Therefore, the correct answer is (c).",2,"在this situation, 小liv最后会 Feelings? 
The answer is (d):  self-pride.
Little Li feels proud of himself for his excellent academic record, despite his parents' neglect. When he sees his father and mother smiling and clapping for him from the front row, he feels a sense of selfworth",3,"Based on the passage, the correct answer is (c):  his perfect academic record gives him a lot of satisfaction.
The passage states that ""he felt a sense of pride and satisfaction"" when he saw his parents in the audience, smiling and clapping for him. This suggests that his academic achievements have given him confidence and a feeling of accomplishment,",2,"在此情景下, 小立最后会产生䪒受悲丝。 Therefore, the answer is (a): �",0,"在该情节中，可以得出以下结论：
（a）小栗曾经被做干净，它们现在出圈养他。这使得小刺内部涌动，怀��",0,"Based on the passage, the best answer is (d):  self-pride.
The passage describes Little Li as feeling heavy-hearted but still proudly walking onto the stage to receive his award. When he looks towards the audience, he sees his parents smiling and clapping for him from the front row. This suggests that LittleLi is feeling a",3,（d）小引练自喜于舞场上。,3
"['悔恨', '悲观', '惊喜', '失望', '期待', '生气']",2,"['他最终可以拍下他一直寻找的鸟的照片了', '他只喜欢坐在外面', '他喜欢坐在树枝上。', '乔有一台新相机']",0,"在此情节下, 亚得最后的急處應该是（e）期望。",4,"This is a classic lateral thinking puzzle. The answer is (a):  he feels anticipation because the bird has flown back to the same spot where he saw it before, indicating that it might be a good spot for taking a photo.
Explanation: The puzzler is trying to trick the reader into assuming that the man's excitement is",0,"在此情景下, 亚思最后会表现为：
（e）期望。",4,"这是一个充满趣味和挑戦的问naire! Here's my answer: (d): Jo has a new camera.
Jo' Jo' has been trying to take a picture of the elusive blue bird for months, and finally, he spots one perched on a",3,"在该情景下, 亚esar 最后会表现出优选（e）期望。",4,（d）互助。,3,"Based on the scenario you provided, the best answer is (d):  disappointment.",3,这是一个很有趣的情节，我们可能会有不同的回署。依据情景描述，可知亚历山大最喜热的是瞧到藍鳥，于众不�,-1,"在此情景下, 亚JS最后会表现出似且。根据情节，可以看出JS的情怀变化，从激动到沮來。因此，JS会express disappointment（抑 disappointed）。 Therefore, the",-1,（d）互有新的相機。,3
