Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['惊喜', '生气', '尴尬', '绝望', '自豪', '失望']",0,"['尽管她不喜欢自己做的千层酥，她还是对女儿很喜欢它很惊喜', '她认为她的巴克拉瓦非常完美', '巴克拉瓦并未被毁掉', '她的女儿刚刚回到家']",0,"在此情景下, 多芮最后会怎样掌握？

根据文章末尾提到的几个字语，我们可以确定多味会对于制造失敗的態度是有些��",-1,笔者判断多丽为何会失落的原因是受到自家制造的失效的影响，因此选擇（a）即吃自制的食物不够喜好。,0,"在上述情景下, 多蕊最后会怎样挺心？

根据情节描详, Multiple 在发現制造失敗的千 layers 饼干时, her daughter 回家并吃了��",-1,根据情节描述，可以确定多芮在制造萝卜千 layers 时失去了兴趣和精神，导致面皮不坚软、内夹也被碎裂，,-1,"在this situation, 多辣最后会have what feeling? 

 Answer: (c）厌恶。",2,"Based on the scenario, the correct answer is (a): 多妞不会喜喜自家的 ты千 layers, but she still likes her daughter very much.

Reasoning: 
 Multiple choice questions:  
a. Multiple choice answers:   
1. She likelihood of her enjoying her own b",0,"在this scenario, 多辣(Dora) will finally feel: 

（d）瘋望。",3,Answer: (b）夹紧着梦想的多丽，认定自制的爆笑照片是完全完成的，不管实际效果如何。,1,根据情节描述，最 likely 多두리最后会怎样摸慨，选擇（c）害羞。多著里在发現制造失敗后，女士孙回家时看��,2,"Answer: (b]

Explanation: 
Multiple choice question, the correct answer is (B) She thinks her baklava is perfect.
Reasoning: The scenario describes that the mother (Multi) has just taken the baked baking out of the oven and it has failed, with the layers not being crispy",1
"['惊喜', '生气', '尴尬', '绝望', '自豪', '失望']",0,"['他认为他花了一副完美的画', '他的妻子欣赏他的努力，喜欢他的画', '他在画画时犯了错并且很在意', '他的妻子欣赏他的努力，即使发现了他的错误']",1,"在西撒文的情景下, 最后会怎样挺的 sentiment?  based on the given situation, the most likely answer is: 

（c）寅壁。
  Weston is an amateur artist who spent a week painting a portrait of his deceased pet. After finishing",2,"绝对是（c）他 durante la painting process made a mistake and felt embarrassed.

Western (Simon) felt awkward because he had made an error in the painting, and his wife had noticed it. He felt self-conscious about the mistake, which made him feel embarassed (受到��",2,"在西撒的情景下, 西姆最后会怎样挺心？

 answer: (c）厉嘟声。
 
reason: 由于西 Simon 花过多时间画 his deceased pet's portrait, and he finally completed it",2,"绝对是（c）他 durante painting 畫了个错。

Western 在完ting the portrait of his late pet 时, he realized that he had painted the wrong color fur. He felt embarrassed because he thought hehad spent too much time on the painting and had made a big mistake. His wife'",2,"根据情节，在西姆的情急下最有可能会产生的 sentiment 是：

（c）厌恶
。他最初满意自己的作品，且花费了多少时间画画。�",2,绝对是（c）他画了 incorrect 的镜像，在发現错ror 后总是会 feeling embarrassed。 Weston 在花一星星week 时花的是他已经过世的 pet ，以及他对其的爱和回忆。,2,"根据情节，在西撒мон最后会怎样掌握情況？

 Answer: (c）委屈。
 
West蓮MON spent a week painting a portrait of his late pet, but when he stepped back to admire his work, he",2,"Based on the situation, the correct answer is (c). 西门(Simon) will feel embarrassed because he made a mistake while painting and his wife noticed it.",2,"在西撒门最后会怎样挺？

根据情节，这是西门的业主作品，花费了多个星周完善，且他在完工后发現了错误。然而，即使如此，",-1,"绝对是（c）他 durante painting made a mistake and felt frustrated.

Western (Simon) felt disappointed because he made an error while painting and was frusterated with himself for not getting it right.",2
"['感激 & 尴尬', '感激 & 开心', '尴尬 & 生气', '气恼 & 生气', '气恼 & 伤心', '气恼 & 尴尬']",1,"['没有同事前来', '他的老板出现并夸赞了他的作品', '他不喜欢自己的画', '他的同事不喜欢他的艺术作品']",1,"在this scenario, Andy will finally feel: 

（c）厌总 &amp; 兴启
  Andy was expecting all his colleagues to attend his exhibition, but none of them showed up. Just as he was about to pack up and leave, his boss appeared and praised his artistic skills. This",2,"根据文章描访，可知安吉的满意度是因为以下原因：

（b）他老厂出現并过高评估了安的 painting。 
因此，选擇（B）是正确的笔",1,"Based on the situation, it is likely that Andy will feel: 

（b）惊喜 &amp; 高兴。  Andy has been working hard and finally has the opportunity to showcase his artwork, but no one came to the exhibition. Just as he is about to pack up and leave, his boss appears and praises",1,"Answer: (b）his boss appeared and praised his work.

Explanation: 安培 (Andy) is feeling grateful and happy because his bossa praises his artwork, which indicates that his efforts and hard work have been recognized and appreciated. The fact that no colleagues attended the exhibition does not seem to have a",1,"基于情节描详，可能安第最后会怎样掌柄情況，有以下幾個可 возмож性：

1. 安慰 &amp; 開心：安提得到了老闆的��",-1,"Based on the situation, the correct answer is (b):  his boss appeared and praised his work.

Here's why: 
安提 (Andy) had been working hard for weeks to set up his exhibition and had finally managed to display his artwork. Despite inviting all his colleagues, no one showed up. Just as",1,"在此情景下,安第最后会怎样摆脱？

根据情节描讲,经历了很多困难和挫折的安德烈，終于能做出自",-1,"根据文章提供的情节，可知安培的某些情怀和心理状态，因此可能会选擇以下选题：

（b）他老姐出現并过高许美他作���hrer。",1,"Based on the scenario, the most appropriate answer is (b): 安慰 &开 Heart.

Here's why: 
After weeks of hard work and determination, Andy finally set up his exhibition and displayed his artwork. Although he invited all his colleagues, no one showed up. Just as he was about to pack up and",1,笔者认为 correct answer is (b): 安慰的鼓勵。在情节中提到的安的总是受到他老爷的认可和褒宽，这使得他找到了自身的优�,1
"['嫉妒', '尴尬', '紧张', '惊喜', '反对', '愧疚']",3,"['虽然他最初对自己的失败感到失望，但是被取消资格的选手让他进入了前五，使他赢了赌注', '他证明了他的父亲是对的', '他的父亲准备给他买一台新的笔记本电脑', '他被评为前六名的艾伯特']",0,"在this situation, 辛亥 would most likely feel: 

（d）激喜。  After working hard and almost achieving his goal, he would feel elated when he found out that one of the top five students was disqualified for cheating, giving him a chance to move up the ranks.",3,"Based on the situation, the correct answer is (a):  Although he initially felt disappointed about his failure, he was surprised to find that the disqualified player's withdrawal allowed him to enter the top five, making him a winner.",0,"在this situation, 辛亥的朋友读者最后会 feeling of: 

（d）激喜。",3,"在 this 情景下, 托特会 feeling 的激动因以下原因：

（a）距离失去的机会。 Even though 阿尔丹 did not initially make it into the top 5, the disqualification of one of the other students meant that",0,"在 this situation, 诶佛特 (Albert) will have the following feelings: 

（d）激喜 (surprise)
 。  After working hard and not getting the expected result, he will be surprised to find out that one of the top five students who did not deserve it has been disqual",3,Answer: (a],-1,"在this situation, 辛亥 would most likely feel: 

（d）激喜。  Although he did not make it into the top 5 and was initially disappointed, he would be overjoyed by the news that one of the students who did make the list was disqualified for cheating, as this",3,"Based on the situation, the correct answer is (a):  Although he initially felt disappointed with his failure, he was surprised to find that the disqualified player's absence allowed him to enter the top five, making him a winner.",0,"在this situation, 诺亮最后会 feeling of: 

（d）激喜。",3,"Based on the given situation, the correct answer is (a):  Although he initially felt disappointed with his failure, he was surprised to find that the disqualified player's withdrawal allowed him to enter the top five, making him a winner.

Here're the explanations for each option: 
  
  (b): This option",1
"['释怀', '伤心', '生气', '绝望', '娱乐', '愧疚']",0,"['起初，她对自己的一天感到沮丧，但是她开始跳舞来减轻压力，并感到轻松释怀', '她被她的老板表扬', '她终于满足了客户的期望', '客户在多次修改后接受了她的工作。']",0,在本场景中，最后推荐您选擇（c）生动。投 Dance 是潘末的唯一的键盘，通过 dance 来振舒心灵，从而忘�,2,"Based on the scenario, the best answer is (a): At first, she felt depressed about her day, but she started dancing to relieve the pressure and felt relaxed.

Here's why: 
- 抑郁 (depression) is a common emotion when someone experiences a series of rejections and critic",0,"在this situation,  Based on the given scenario, it is likely that 蜜柔 (Miao Miao) will have a feeling of: 

（c）生気 (energetic)
After being reprimanded by her boss and having her work rejected multiple times, Miaomiao may feel fr",2,"Based on the scenario, the correct answer is (a): At first, she felt depressed about her day, but she started dancing to relieve stress and felt relaxed.

Explanation: The scenario describes how 潑泥浴 (汤� disputes) loves to dance and uses it as a",0,"Based on the scenario provided, it is likely that 蜜柔 (Mìruò) will feel: 

Answer: (c]生각
  Explanation: After a stressful day at work, μì洛 (μÌruÒ) releases her emotions through dancing and then looks",0,"Based on the scenario, the best answer is (a): At first, she felt depressed about her day, but she started dancing to relieve the pressure and felt relaxed.

Explanation: The scenario describes how 排毫 (洗护) felt frustrated and dejected after being rejected",0,"基于情节描述，可以确定满护最后会经历产生以下某些涨潮：

1. 放松（a）：虽然客串演员的反复推��",0,简单来说，选题（a）是正确的猜测。根据文本描写，可以看到含义的氛围，那就是把趣味精神作用为避免焦,0,"根据描述，最有可能的选択是（c） 情緒高涨。承压于工具和生存困难的几天后, 踏进舞均工 studio，放��",2,根据文章中描写的情节，可以确定的是�lisette在踏入舞会工程坊后挥发情矢，这可能是因为各种因素的积约。以下是可 posible的选擇,-1
"['反对', '娱乐', '气恼', '紧张', '害怕', '无感']",1,"['他发现对他大喊大叫的人是他爸爸，是个惊喜', '他热爱交通', '他喜欢对抗', '他享受被称为糟糕的司机的感觉。']",0,"在小안這种情況下最後會有哪樣的態度？

Answer: (d）緊張。",3,"Answer: (a). 小안发現对 него大���啸的 people is his father, which is a surprise.

Reason: 在小anh's situation, he would feel surprised and embarrassed because he did not expect hisfather to be the one yelling at him. He might also feel anxious about how his",0,"在小안這种情況下, 最後會有哪樣的態度？

 Answer: (d）緊張。",3,Answer: (a],-1,"在 this scenario, 小안 (Xiǎo'ān) is likely to feel: 

（d）突然 (zutto)
or （f）无神 (wúshén) .
The word ""糟粕"" (píngrì) in the scenario suggests that the father",5,Answer: (a).,0,"在小안這种情況下最後會有哪樣的態度？

 Based on the situation, the most likely emotions that Xiaoyuan would feel are: 
（c）憤懣
 (c ) Annoyance
  Xiaoyan was",2,Answer: (a). 小안发現对 him 大 呼 的 人 是 祖绪礼， 这是一个吸引人的事件， causing him to feel embarrassed.,0,"在小안這個情況下最後會有哪樣的態度？

根據情景，可能會出現以下幾種推測：
（a）反對：小Karl可以反",0,"Based on the scenario, the correct answer is (b):  он着痛癮交流.

Little An's reaction is not because he enjoys being yelled at, but because his father'scriticism hits a nerve. As a child, Little An may have felt that hisfather'ssmart",1
"['生气', '失望', '嫉妒', '紧张', '气恼', '感激']",0,"['虽然我一开始只是恼火，但发现朋友在说我的坏话，我的恼火变成了生气', '我没有被邀请参加生日派对', '我的朋友没有提前告诉我关于派对的事情', '我总是被排除在派对之外']",0,"在该情景下, 我们最后会怎样掌握？

 Answer: (e）毅快。",4,简单来说，你應该选择（a），因為你的情绪从惧火转变为生活。在发現你所谓的好友却在私下说你差的话时，情满了,0,"Based on the situation you described, the most likely feeling you would have is: 

（b）失落
  You feel disappointed and hurt that your friend didn't invite you to their party and also found out that they were talking negatively about you behind your back. This would likely leave you feeling left out and disrespected",1,"Based on the information provided, the correct answer is (a):  Although I was initially only annoyed, I became angry when I found out that my friend was talking bad about me behind my back.

Explanation: The situation described in the scenario is that the speaker was not invited to a birthday party by their friend, and they foundout that",0,基于你所提供的情节，最 probable 的权益概念是（b）失落。你因没被這个摯友遮 Invite 而Feeling LEFT OUT 和被虚假的夸,1,"简单来说，你会 feeling disappointed because your friend: 

（a） Your initial irritation at not being invited to the party has turned into anger when you found out yourfriend was talking badly about you behind your back.
 （b） You were not invitedto theparty.",1,"基于你提供的情节，最likely的推荐精度是：

（e）毅躁
。在你的故事中，你因没被這个摯友采用而受到了折磨",4,"简单来说，你應该选择（a）。根据你的设定，you felt hurt because your friend didn't invite you to their birthday party, and then you found out that they were talking behind your back. This would make you feel both hurt and angry.

Here's a",0,"在该情景下, 你最 likely 会把握以下杂 emotions: 

Option (a): 发飙 (angry)
 Option (b): disappointed
  Option( c): jealous
   Option d: tense
    Option e: resentful",4,"笔者认为绝对是（a）跟随。下面是解释：

在情景中，作者抱歉没被invited to a friend's birthday party， but what makes them feel upset is not just the fact that they were excluded",0
"['充满希望', '害怕', '绝望', '反对', '感激', '尴尬']",0,"['虽然这些严厉的评论让他感到伤心和失望，但他意识到他可以做得更好，并开始完善', '他的老板总是会批评小尤', '他的老板赞扬了小尤的努力', '小尤喜欢向团队展示他的想法。']",0,"在小ton的情景下, 最后会拥有以下某种投入：

Answer: e)惊艳.
```
Explanation: 小 ton的经验是一种可能的培塑和成长的机会。",4,"Correct answer: (a).

Explanation: Little Yao feels grateful because, although the harsh criticism from his boss hurts his feelings and makes him disappointed, he realizes that he can do better and starts to improve his ideas. The criticism serves as a necessary condition for his progress, and he is grateful for the opportunity to learn and",0,"Based on the scenario, the best answer is (e): 《欢迎》.

Little Yu is excited to present his innovative ideas to the team, and he is aware that his boss's strict feedback is a necessary condition for his progress. He is not discouraged by the criticism and is instead motivated",4,"Correct answer: (a).

Explanation: Little Yao feels grateful because although the harsh feedback from his boss hurts his feelings and makes him disappointed, he realizes that he can do better and starts to improve. This feedback is a necessary condition for his progress, and he is grateful for the opportunity to learn and grow.",0,"在小优受到争辩性的Feedback后，最后会拥有以下某种態度：

Answer: e)惊喜。",4,"Correct answer: (a).

Explanation: Little Yi feels grateful because, although the harsh criticism from his boss hurts his feelings and makes him disappointed, he realizes that he can do better and starts to improve. The criticism serves as a necessary condition for his progress, and he is determined to learn from it and become better.",0,"在小小的情景下, 小 的最后会把握到以下措施：

（e）惊喜。 
 理由：小于的希求和努力被认可和赞誉，使得他拥",4,Answer: (a],-1,"Based on the situation described, the best answer is (e): 감惨 (gǎn xiāo).

In this scenario, Little Yu is facing criticism from his boss, which could be perceived as negative feedback. However, he is aware that this feedback is necessary for his progress and is taking it as an opportunity",4,Answer: (a],-1
"['自豪', '嫉妒', '伤心', '失望', '尴尬', '惊喜']",5,"['他以为父母会忽视他时，他们却出现来支持他', '他的完美学业记录给他带来了很多满足感', '他的父母设法参加了他的庆祝活动和他哥哥的棒球比赛', '小利独自在舞台上，喜欢这种关注。']",0,"在小李看访到其灵魂的情景下, 他最后会拥有以下某种態度：

 Answer: (e）害羞。",4,"Answer: (a).

Explanation: Little Li feels embarrassed because he believes that his parents will ignore him, but instead, they appear in the front row to support him. This goes against his expectations and makes him feel uncomfortable.",0,在小李最后看著他热焱的舌宽时看見他家长在前數架上别眼镜瞥耳光闪遮盖瑞，突然怀,-1,"Based on the given situation, the correct answer is: 

（a）他이 부모가 그를 寿司하지 않을 때 ，They unexpectedly appeared to support him.
  Little Li felt surprised because his parents, who he thought would ignore him, unexpected appearedto support and",0,"在小李被搁置的情景下, 最后会怎样把握气？

根据文章中的表述， small Li 看著聆听者凳时看見他眼皮的微微",-1,绝对是（a）！小李以前以当為牠的 parents 將彈性受到寂宁，具体来说，當他在頒勳禮上獨自進場時，��,0,"Based on the scenario, the correct answer is (a): self-respect.

Little Li, despite being neglected by his parents, feels proud of his perfect academic record and decides to walk alone on stage to receive his award. When he looks into the audience, he sees his smiling parents in the front row, clapping for him.",0,简单来说，积极的情怀和自信心是导致小李慢脾气的主要原因。因此，正确的选择是（a）。,0,"在小李被抛彼的情景下, 最后会have产生以下某种欣賞態度：

 answer: (e）寅假。",4,简单来说，选择（a）是正确的选ices。小李在情景中总是找到了矛盾，因此他整天都摸累了。彷室的出現让他意外,0
"['惊喜', '失望', '生气', '悲观', '悔恨', '期待']",0,"['他最终可以拍下他一直寻找的鸟的照片了', '乔有一台新相机', '他只喜欢坐在外面', '他喜欢坐在树枝上。']",0,"在this situation, 且final feelings of Jo would be: 

（f）期望。  Jo has been trying to take a photo of the rare bird for months, and finally, he has the opportunity to do so. However, the bird flies away just as he is about to capture the moment. Despite feeling disappointed, Jo",5,"Answer: (d] He likes to sit on tree branches.

Explanation: In this scenario, Jack is waiting for the blue bird to return so he can take its picture. Since he has already found the bird and is eager to take a photo, he is likely to be feeling anticipatory because he wants to capture the moment and preserve the memory",-1,"在 this situation, 且 (a] would be the most appropriate answer. 甫 (激动) is the best description of  Johns final feeling. He is excited and thrilled that the rare bird has returned and is willing to take more pictures.",-1,"Based on the scenario, the correct answer is (d):  he likes to sit on tree branches.

The reason why Jack feels anticipation is that he has finally found the rare bird he had been searching for, and he is eager to take a picture of it. However, just as he prepares himself to do so, his subject flies away",3,"在此情景下, 且是最后会怎样掌握的权？

根据文章末尾提到的信息，让我们游客想要抓到藍鳥的图片，并产生了",-1,"Answer: (b] He has a new camera.

Explanation: In this scenario, 杰 (Jiao) has been trying to take a photo of the rare bird, but it keeps flying away. However, he finally has the opportunity to capture the bird's photo when it returns to the tree branch. Therefore, option (a",-1,"在此情景下, 且离最后遇到的情节，我们可以确定亚的概率为最高。根据情结，虽然俺最初挫折，然而随后却重",-1,"Answer: (d）他们喜好垂在樹梢上.

Reason: 在情节中提到且 sitting on a tree stump, indicating that Joel enjoys sitting there. Therefore, option (D) is the correct answer.",3,"在此情景下, 且final会 feeling (a]激动[。他最初挫折的沮亦，然而随笔镜头的回归，情矢增加，最后欢喜��",-1,"Answer: (d] He likes to sit on tree branches.

Reason: In the scenario, Jo is waiting for the blue bird to return, indicating that he enjoys sitting on the tree branch and waitingfor the bird's return.",-1
