Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Delight', 'Anger', 'Embarrassment', 'Hopeless', 'Pride', 'Disappointment']",0,"['She thought her Baklava was perfect', 'Her daughter enjoyed the Baklava despite it being ruined', 'The Baklava was not ruined', 'Her daughter just arrived home']",1,(c) Embarrassment,2,(b) Her daughter enjoyed the Baklava despite it being ruined,1,(c) Embarrassment,2,(b) Her daughter enjoyed the Baklava despite it being ruined,1,(c) Embarrassment,2,(b) Her daughter enjoyed the Baklava despite it being ruined,1,(c) Embarrassment,2,(b) Her daughter enjoyed the Baklava despite it being ruined,1,(c) Embarrassment,2,(b) Her daughter enjoyed the Baklava despite it being ruined,1
"['Delight', 'Anger', 'Embarrassment', 'Hopeless', 'Pride', 'Disappointment']",0,"['He thought he had painted the perfect portrait', 'His wife appreciated his effort and liked his portrait', 'He made a mistake in a painting he cared about', 'His wife appreciated his effort despite noticing the mistake']",1,(c) Embarrassment,2,(c) He made a mistake in a painting he cared about.,2,(c) Embarrassment,2,(c) He made a mistake in a painting he cared about.,2,(c) Embarrassment,2,(c) He made a mistake in a painting he cared about.,2,(c) Embarrassment,2,(c) He made a mistake in a painting he cared about.,2,(c) Embarrassment,2,(c) He made a mistake in a painting he cared about.,2
"['Gratitude & Anger', 'Embarrassment & Joy', 'Sadness & Anger', 'Gratitude & Joy', 'Embarrassment & Sadness', 'Embarrassment & Anger']",3,"['Nobody from work showed up', 'His boss showed up and praised his work', ""He didn't like his own drawings"", 'His coworkers disliked his artwork']",1,(d) Gratitude & Joy,3,(b) His boss showed up and praised his work,1,(d) Gratitude & Joy,3,(b) His boss showed up and praised his work,1,(d) Gratitude & Joy,3,(b) His boss showed up and praised his work,1,(d) Gratitude & Joy,3,(b) His boss showed up and praised his work,1,(d) Gratitude & Joy,3,(b) His boss showed up and praised his work,1
"['Jealousy', 'Embarrassment', 'Nervousness', 'Delight', 'Disapproval', 'Guilt']",3,"['He proved his father right', 'His father was going to buy him a new laptop', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5', 'He was named in the top 6']",2,(d) Delight,3,"(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,(d) Delight,3,"(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,(d) Delight,3,"(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,(d) Delight,3,"(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,(d) Delight,3,"(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2
"['Relief', 'Sadness', 'Anger', 'Hopeless', 'Amusement', 'Guilt']",0,"['She got praised by her boss', 'She was able to dance away her frustration and stress', ""She finally satisfied her client's expectation"", 'Her client accepted her work after many changes.']",1,(a) Relief,0,(b) She was able to dance away her frustration and stress.,1,(a) Relief,0,(b) She was able to dance away her frustration and stress.,1,(a) Relief,0,(b) She was able to dance away her frustration and stress.,1,(a) Relief,0,(b) She was able to dance away her frustration and stress.,1,(a) Relief,0,(b) She was able to dance away her frustration and stress.,1
"['Disapproval', 'Amusement', 'Annoyance', 'Nervousness', 'Fear', 'Unbothered']",1,"['He loves traffic', 'He enjoys confrontations', 'The person shouting at him turned out to be his dad', 'He enjoys being called a bad driver.']",2,(c) Annoyance,2,(c) The person shouting at him turned out to be his dad.,2,(c) Annoyance,2,(c) The person shouting at him turned out to be his dad.,2,(c) Annoyance,2,(c) The person shouting at him turned out to be his dad.,2,(c) Annoyance,2,(c) The person shouting at him turned out to be his dad.,2,(c) Annoyance,2,(c) The person shouting at him turned out to be his dad.,2
"['Anger', 'Disappointment', 'Jealousy', 'Nervousness', 'Annoyance', 'Gratitude']",0,"[""I wasn't invited to the birthday party"", 'I found out his friend talks badly about me behind his back', ""My friend didn't tell me about the party in advance"", 'I am always excluded from parties']",1,(a) Anger,0,(b) I found out his friend talks badly about me behind his back,1,(b) Disappointment,1,(b) I found out his friend talks badly about me behind his back,1,(b) Disappointment,1,(b) I found out his friend talks badly about me behind his back,1,(a) Anger,0,(b) I found out his friend talks badly about me behind his back,1,(a) Anger,0,(b) I found out his friend talks badly about me behind his back,1
"['Hopeful', 'Fear', 'Hopeless', 'Disapproval', 'Gratitude', 'Embarrassment']",0,"['His boss will always criticize him', 'His boss praised his effort', 'He used the criticism to improve his idea', 'He loved presenting his ideas to the team.']",2,(a) Hopeful,0,(c) He used the criticism to improve his idea.,2,(a) Hopeful,0,(c) He used the criticism to improve his idea.,2,(a) Hopeful,0,(c) He used the criticism to improve his idea.,2,(a) Hopeful,0,(c) He used the criticism to improve his idea.,2,(a) Hopeful,0,(c) He used the criticism to improve his idea.,2
"['Pride', 'Jealousy', 'Sadness', 'Disappointment', 'Embarrassment', 'Delight']",5,"[""His parents skipped his younger brother's baseball game to attend his awards ceremony"", 'His flawless academic record has brought him a lot of satisfaction', ""His parents managed to attend both his ceremony and his brother's baseball game"", 'He was alone on the stage and liked the attention.']",0,(a) Pride,0,(b) His flawless academic record has brought him a lot of satisfaction.,1,(a) Pride,0,(b) His flawless academic record has brought him a lot of satisfaction.,1,(a) Pride,0,(b) His flawless academic record has brought him a lot of satisfaction.,1,(a) Pride,0,(b) His flawless academic record has brought him a lot of satisfaction.,1,(a) Pride,0,(b) His flawless academic record has brought him a lot of satisfaction.,1
"['Delight', 'Disappointment', 'Anger', 'Pessimism', 'Remorse', 'Anticipation']",0,"['He has a new camera', 'He just likes sitting outside', 'He finally gets to take pictures of the bird he was looking for', 'He enjoys sitting on a tree branch.']",2,(a) Delight,0,(c) He finally gets to take pictures of the bird he was looking for.,2,(a) Delight,0,(c) He finally gets to take pictures of the bird he was looking for.,2,(a) Delight,0,(c) He finally gets to take pictures of the bird he was looking for.,2,(a) Delight,0,(c) He finally gets to take pictures of the bird he was looking for.,2,(a) Delight,0,(c) He finally gets to take pictures of the bird he was looking for.,2
