Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Disappointment', 'Pride', 'Hopeless', 'Anger', 'Delight', 'Embarrassment']",4,"['Her daughter enjoyed the Baklava despite it being ruined', 'The Baklava was not ruined', 'She thought her Baklava was perfect', 'Her daughter just arrived home']",0,Answer : (a ) Disppointmnet,0,Answer : (a). Her Daughter Enjoyed the baklava Despite it Being Ruined.,0,Answer : (a ) Disppointmnet,0,Answer : (a). Her Daughter Enjoyed the baklava Despite it Being Ruined.,0,Answer : (a ) Disppointmnet,0,Answer : (a). Her Daughter Enjoyed the baklava Despite it Being Ruined.,0,Answer : (a ) Disppointmnet,0,Answer : (a). Her Daughter Enjoyed the baklava Despite it Being Ruined.,0,Answer : (a ) Disppointmnet,0,Answer : (a). Her Daughter Enjoyed the baklava Despite it Being Ruined.,0
"['Anger', 'Embarrassment', 'Pride', 'Disappointment', 'Delight', 'Hopeless']",4,"['His wife appreciated his effort and liked his portrait', 'He made a mistake in a painting he cared about', 'His wife appreciated his effort despite noticing the mistake', 'He thought he had painted the perfect portrait']",0,Answer : (c ) P ride,2,Answer : (b). He Made a Mistake in Painting He Cared About.,1,Answer : (c ) P ride,2,Answer : (b). He Made a Mistake in Painting He Cared About.,1,Answer : (c ) P ride,2,Answer : (b). He Made a Mistake in Painting He Cared About.,1,Answer : (c ) P ride,2,Answer : (b). He Made a Mistake in Painting He Cared About.,1,Answer : (c ) P ride,2,Answer : (b). He Made a Mistake in Painting He Cared About.,1
"['Gratitude & Anger', 'Gratitude & Joy', 'Sadness & Anger', 'Embarrassment & Joy', 'Embarrassment & Anger', 'Embarrassment & Sadness']",1,"['His coworkers disliked his artwork', ""He didn't like his own drawings"", 'His boss showed up and praised his work', 'Nobody from work showed up']",2,Answer : (c ) Sadnes & anger,2,Answer : (c). His Boss Showed Up and Praised His Work,2,Answer : (c ) Sadnes & anger,2,Answer : (c). His Boss Showed Up and Praised His Work,2,Answer : (c ) Sadnes & anger,2,Answer : (c). His Boss Showed Up and Praised His Work,2,Answer : (c ) Sadnes & anger,2,Answer : (c). His Boss Showed Up and Praised His Work,2,Answer : (c ) Sadnes & anger,2,Answer : (c). His Boss Showed Up and Praised His Work,2
"['Embarrassment', 'Delight', 'Jealousy', 'Guilt', 'Disapproval', 'Nervousness']",1,"['His father was going to buy him a new laptop', 'He proved his father right', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5', 'He was named in the top 6']",2,Answer : (c ) Jealously,2,Answer : (c). Because One of top five contestant cheat and disqulified this puts him top5.,2,Answer : (c ) Jealously,2,Answer : (c). Because One of top five contestant cheat and disqulified this puts him top5.,2,Answer : (c ) Jealously,2,Answer : (c). Because One of top five contestant cheat and disqulified this puts him top5.,2,Answer : (c ) Jealously,2,Answer : (c). Because One of top five contestant cheat and disqulified this puts him top5.,2,Answer : (c ) Jealously,2,Answer : (c). Because One of top five contestant cheat and disqulified this puts him top5.,2
"['Anger', 'Hopeless', 'Relief', 'Guilt', 'Amusement', 'Sadness']",2,"[""She finally satisfied her client's expectation"", 'She was able to dance away her frustration and stress', 'Her client accepted her work after many changes.', 'She got praised by her boss']",1,Answer : (c Relie),2,Answer : (b). She felt anger in that situation because she was danced away frustrations and stresses.,1,Answer : (c Relie),2,Answer : (b). She felt anger in that situation because she was danced away frustrations and stresses.,1,Answer : (c Relie),2,Answer : (b). She felt anger in that situation because she was danced away frustrations and stresses.,1,Answer : (c Relie),2,Answer : (b). She felt anger in that situation because she was danced away frustrations and stresses.,1,Answer : (c Relie),2,Answer : (b). She felt anger in that situation because she was danced away frustrations and stresses.,1
"['Disapproval', 'Fear', 'Annoyance', 'Unbothered', 'Amusement', 'Nervousness']",4,"['He loves traffic', 'He enjoys confrontations', 'The person shouting at him turned out to be his dad', 'He enjoys being called a bad driver.']",2,Answer : (c ) AnNOyAnce,2,Answer : (c). He realizes the person who shouted at was actually his father.,2,Answer : (c ) AnNOyAnce,2,Answer : (c). He realizes the person who shouted at was actually his father.,2,Answer : (c ) AnNOyAnce,2,Answer : (c). He realizes the person who shouted at was actually his father.,2,Answer : (c ) AnNOyAnce,2,Answer : (c). He realizes the person who shouted at was actually his father.,2,Answer : (c ) AnNOyAnce,2,Answer : (c). He realizes the person who shouted at was actually his father.,2
"['Gratitude', 'Jealousy', 'Annoyance', 'Nervousness', 'Anger', 'Disappointment']",4,"['I found out his friend talks badly about me behind his back', ""I wasn't invited to the birthday party"", 'I am always excluded from parties', ""My friend didn't tell me about the party in advance""]",0,Answer : (c ) AnNOyAnce,2,Answer : (b). I was not invited the to birth day party,1,Answer : (c ) AnNOyAnce,2,Answer : (b). I was not invited the to birth day party,1,Answer : (c ) AnNOyAnce,2,Answer : (b). I was not invited the to birth day party,1,Answer : (c ) AnNOyAnce,2,Answer : (b). I was not invited the to birth day party,1,Answer : (c ) AnNOyAnce,2,Answer : (b). I was not invited the to birth day party,1
"['Hopeful', 'Hopeless', 'Disapproval', 'Fear', 'Embarrassment', 'Gratitude']",0,"['His boss will always criticize him', 'His boss praised his effort', 'He loved presenting his ideas to the team.', 'He used the criticism to improve his idea']",3,Answer : (b Hopless),1,Answer : (d). He Used the Criticism to Improve His Idea.,3,Answer : (b Hopless),1,Answer : (d). He Used the Criticism to Improve His Idea.,3,Answer : (b Hopless),1,Answer : (d). He Used the Criticism to Improve His Idea.,3,Answer : (b Hopless),1,Answer : (d). He Used the Criticism to Improve His Idea.,3,Answer : (b Hopless),1,Answer : (d). He Used the Criticism to Improve His Idea.,3
"['Sadness', 'Jealousy', 'Embarrassment', 'Pride', 'Delight', 'Disappointment']",4,"[""His parents skipped his younger brother's baseball game to attend his awards ceremony"", ""His parents managed to attend both his ceremony and his brother's baseball game"", 'His flawless academic record has brought him a lot of satisfaction', 'He was alone on the stage and liked the attention.']",0,Answer : (d ) P ride,3,Answer : (c ) His Flawlessly academic Record has Brought him A lot Of Satisfaction.,2,Answer : (d ) P ride,3,Answer : (c ) His Flawlessly academic Record has Brought him A lot Of Satisfaction.,2,Answer : (d ) P ride,3,Answer : (c ) His Flawlessly academic Record has Brought him A lot Of Satisfaction.,2,Answer : (d ) P ride,3,Answer : (c ) His Flawlessly academic Record has Brought him A lot Of Satisfaction.,2,Answer : (d ) P ride,3,Answer : (c ) His Flawlessly academic Record has Brought him A lot Of Satisfaction.,2
"['Remorse', 'Pessimism', 'Delight', 'Disappointment', 'Anticipation', 'Anger']",2,"['He has a new camera', 'He finally gets to take pictures of the bird he was looking for', 'He enjoys sitting on a tree branch.', 'He just likes sitting outside']",1,Answer : (c ) DelIGHT,2,Answer : (c). He feels remorsey because the Bird flewe away as soon as He was ready to Take a picture of it.,2,Answer : (c ) DelIGHT,2,Answer : (c). He feels remorsey because the Bird flewe away as soon as He was ready to Take a picture of it.,2,Answer : (c ) DelIGHT,2,Answer : (c). He feels remorsey because the Bird flewe away as soon as He was ready to Take a picture of it.,2,Answer : (c ) DelIGHT,2,Answer : (c). He feels remorsey because the Bird flewe away as soon as He was ready to Take a picture of it.,2,Answer : (c ) DelIGHT,2,Answer : (c). He feels remorsey because the Bird flewe away as soon as He was ready to Take a picture of it.,2
