Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Disappointment', 'Pride', 'Hopeless', 'Anger', 'Delight', 'Embarrassment']",4,"['Her daughter enjoyed the Baklava despite it being ruined', 'The Baklava was not ruined', 'She thought her Baklava was perfect', 'Her daughter just arrived home']",0,"The daughter is happy because the Baklava is ruined but still tastes good. So, Dorea will be delighted.",4,"The Baklava was ruined because the bread was not crispy and the filling was bursting all over the pan. This means that Dorea did not succeed in cooking Baklava.
Therefore, the correct answer is (b).",1,"Baklava is a delicious dish made from layers of filo dough filled with nuts and syrup. It takes time and attention to make sure the layers are crisp and the filling does not burst out. In this case, Dorea's daughter seemed to like the Baklava despite its ruinous state. This means that Dorea would ultimately feel delighted because her daughter enjoyed the Baklava.
最终答案：(e)",4,"The Baklava was ruined because the bread was not crisp and the filling was bursting all over the pan. This means that Dorea did not achieve the desired result when cooking the Baklava. However, her daughter enjoyed the Baklava despite its state. It is possible that Dorea will feel delight or satisfaction because her daughter likes the Baklava even though it is not perfect.",-1,The daughter is happy with the result so Dorea will be delighted too.,4,"The Baklava was ruined because the bread was not crisp and the filling was bursting all over the pan. This means that Dorea did not succeed in making a good Baklava.
Therefore, Dorea would feel embarrassed because she failed to make a good Baklava.
Answer: (a) Her daughter enjoyed the Baklava despite it being ruined",0,"Baklava is a delicious dessert made from layers of filo dough filled with nuts and syrup. It takes time and patience to make, so it's unlikely that Dorea's daughter would give her a thumbs up if the Baklava was ruined.
因此，最终的答案是：
(e)",4,Her daughter is happy because she likes the Baklava even though it is ruined.,-1,"The daughter is happy because the Baklava is not ruined. So the final feeling will be positive.
因此，答案是：
(e)",4,"Her daughter gave her a thumbs up so she felt delight.
所以，答案是：
(a)",0
"['Anger', 'Embarrassment', 'Pride', 'Disappointment', 'Delight', 'Hopeless']",4,"['His wife appreciated his effort and liked his portrait', 'He made a mistake in a painting he cared about', 'His wife appreciated his effort despite noticing the mistake', 'He thought he had painted the perfect portrait']",0,"The painting was done by Simon who is an amateur artist so he might have made some mistakes. His wife said she remembered her pet as having a different colour fur than what was painted which means that Simon did something wrong. He might be disappointed because he didn't get it right but he also might be glad that his wife remembers their pet correctly.
Answer: (d) Disappointment",3,"The wife said she remembered her dog as having a certain color of hair. But Simon painted the wrong color. This means that Simon did not paint what he was supposed to paint. So, we can conclude that he felt disappointment because he didn't do well.
最终的答案是：
(b) He made a mistake in a painting he cared about",1,"The painting was done by Simon who is an amateur painter so he might have made some mistakes. His wife said that the painting looked like her deceased pet which means she thinks the painting looks like her pet. This means that Simon did a good job because he painted something that reminded his wife of their deceased pet. So Simon will be proud of himself.
Answer: (c) Pride",2,He felt pride because he had finished the portrait but realized that he had made a mistake.,-1,"The painting was done for over a week so it is unlikely that he will be angry. The wife's comment shows that she likes the painting so it is also unlikely that he will be disappointed. He has already finished the painting so there is no point feeling embarrassed now. Since he is happy with the result, he can only feel pride or delight.
Answer: (c) Pride",2,"The fact that his wife remembered her dog as having a certain colour does not mean that Simon has painted the right color. The fact that she said ""that's exactly how I remember him"" means that she thinks the painting looks like her dog even though the color is incorrect. This means that Simon will be proud because his wife likes the painting despite the fact that it is not accurate.
最终的答案是：
(a) His wife appreciated his effort and liked his portrait",0,"The painting was done, so there is no way to change it. The wife said she remembered her dog as having a different color. So, Simon will be disappointed because he did not paint what he wanted to paint.
Answer: (d) Disappointment",3,"The fact that his wife said ""that's exactly how I remember him"" means she recognized the colors as those of her deceased pet. This means that Simon has made a mistake because he should have painted the right colors.
Therefore, the correct answer is (b).",1,"The correct answer is (d).
Simon was disappointed because he realized he had made a mistake and it wasn't what he wanted. His wife's comment didn't change this fact.",3,"His wife said she remembered her dog as having a different color than what Simon painted. This means Simon did something wrong.
Therefore, the correct answer is (b).",1
"['Gratitude & Anger', 'Gratitude & Joy', 'Sadness & Anger', 'Embarrassment & Joy', 'Embarrassment & Anger', 'Embarrassment & Sadness']",1,"['His coworkers disliked his artwork', ""He didn't like his own drawings"", 'His boss showed up and praised his work', 'Nobody from work showed up']",2,"Andy felt grateful because his boss praised his skills. He also felt angry that no one came to see his artwork even though they were invited.
所以，答案是：
(a)",0,"Andy felt gratitude because his boss showed up and praised his work.
So, the correct answer is (c).",2,Andy felt grateful because his boss praised his skills. He also felt angry because no one came to see his artwork. So the correct answer is (a) Gratitude & Anger.,0,"Andy felt gratitude because his boss showed up and praised his work.
Answer: (c)",2,"Andy felt gratitude because his boss praised his skills. He also felt anger because no one came to see his artwork.
因此，答案是：
(a) Gratitude & Anger",0,"Andy felt gratitude because his boss showed up and praised his work.
Therefore, the correct answer is (c).",2,"Andy was disappointed that no one came to see his artwork because he worked so hard on it. He felt sad and angry.
最终的答案是：
(e) Embarrassment & Anger",4,"Andy felt embarrassed because nobody came to see his paintings that he worked so hard on.
Therefore, the correct answer is (a).",0,"Andy was disappointed that no one came to see his artwork. He felt embarrassed because he had worked so hard on it but no one cared. His boss's praise made him feel grateful, but it didn't change how he felt about the lack of support from his colleagues.
所以，答案是：
(e) Embarrassment & Anger",4,"Andy felt embarrassed because nobody came to see his paintings. He also felt angry that no one supported him.
因此，答案是：
(a)",0
"['Embarrassment', 'Delight', 'Jealousy', 'Guilt', 'Disapproval', 'Nervousness']",1,"['His father was going to buy him a new laptop', 'He proved his father right', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5', 'He was named in the top 6']",2,"The correct answer is (d) Guilt. This is because if Albert had been in the top 5, his father would have bought him a new laptop. However, since he was ranked 6th, he didn't get what he wanted. He may also feel guilty for not getting what he deserved due to the cheating incident.",3,"The deal is between Albert and his father. The deal is if Albert graduates and is in the top 5, his father will buy him a new laptop. However, because of the cheating, one of the top 5 contestants has been disqualified. This means that Albert moved up to the top 5. As a result, Albert feels emotions such as guilt because he did not fulfill his end of the deal.
所以，答案是：
(c) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5",2,"The correct answer is (a) Embarassment.
Because Albert did not manage to graduate in the top 5 as promised, he felt embarrassed because he failed to keep his promise with his father.",0,"The correct answer is (c), because one of the top 5 contestants cheated and was disqualified, this put him in the top 5.",2,"Embarrassment is the feeling of being ashamed or uncomfortable because of a difficult or embarrassing situation. In this case, Albert felt embarrassed when he did not make it into the top 5 and his father would not buy him a new laptop. This emotion is also appropriate because of the situation where the top 5 contestant was disqualified due to cheating.
最终答案：（a）。",0,"The correct answer is (c) because one of the top 5 contestants cheated and was disqualified, which put Albert into the top 5. This means that if the cheater hadn't been disqualified, Albert wouldn't have made it into the top 5. So, Albert would feel relieved or happy that the cheater was disqualified, but also disappointed that he didn't make it into the top 5 despite his hard work.",2,"Embarrassment is the feeling of being exposed to public embarrassment or humiliation. In this case, Albert may feel embarrassed because he did not achieve what he wanted to achieve (graduating in the top 5), but also because he will have to explain why he didn't make it when his father asks him about it.
最终答案：（a）。",0,"The correct answer is (c) because one of the top 5 contestants cheated and was disqualified, which put Albert into the top 5. This means that if the cheater hadn't been disqualified, Albert wouldn't have made it into the top 5. So, Albert might feel relieved or hopeful that the cheater's disqualification put him back into contention for a laptop.",2,"The correct answer is (a) Embarassment.
- Embarassment because he didn't make it into the top 5.
- Delight is not an option since he did not achieve what he wanted.
- Jealousy is not an option since he did not finish in the top 5.
- Guilt is not an option since he did not do anything wrong.
- Disapproval is not an option since he achieved what he wanted.
- Nervousness is not an option since he did not achieve what he wanted.",5,"The correct answer is (c) because one of the top 5 contestants cheated and was disqualified, which put him in the top 5.",2
"['Anger', 'Hopeless', 'Relief', 'Guilt', 'Amusement', 'Sadness']",2,"[""She finally satisfied her client's expectation"", 'She was able to dance away her frustration and stress', 'Her client accepted her work after many changes.', 'She got praised by her boss']",1,"Momo was reprimanded by her boss because of her client refusing her work multiple times. This means that Momo is feeling stress and anxiety due to her job. She then goes to the dance studio where she starts to dance. Dancing helps Momo to relax and forget about her problems. After she finishes dancing, Momo nods to herself in the mirror, indicating that she feels better.
Therefore, the correct answer is:
(c) Relief",2,"She felt relief because she was able to dance away her frustration and stress.
因此，答案是：
(b)",1,The correct answer is (c). Momo felt relieved because she was able to escape her stress through dancing.,2,"She felt relief because she was able to dance away her frustration and stress.
因此，答案是：
(b)",1,"Mom is angry because she was refused work many times today and criticized by her boss. She starts to dance to get rid of stress and anger. When she finishes dancing, she feels relieved that she can forget her problems for a while.
最终答案：（c）。",2,"She felt sadness because of her client refusing her work multiple times resulting in her being reprimanded by her boss.
最终的答案是：
(b)",1,"Momo was reprimanded by her boss because of her client refusing her work multiple times. This means that Momo is feeling frustrated and disappointed. She then starts to dance to relieve her stress. When she finishes dancing, she nods to herself in the mirror, indicating that she feels better. In conclusion, Momo ultimately feels relieved.
Therefore, the correct answer is (c) relief.",2,"She felt relief because she was able to dance away her frustration and stress.
因此，答案是：
(b)",1,"(a) Anger is a reasonable choice because Momo was reprimanded by her boss after refusing her work multiple times. She also felt frustrated when her client refused her work.
(b) Hopeless is not a good choice because Momo can still find other clients or change her job.
(c) Relief is not a good choice because Momo may feel relieved that she has found a way to deal with her stress, but she will still face the same problems.
(d) Guilt is not a good choice because Momo may feel guilty about her behavior, but she should not feel guilty for trying to cope with her stress.
(e) Amusement is not a good choice because Momo did not laugh or smile while dancing.
(f) Sadness is not a good choice because Momo felt angry and frustrated, but sadness is not a suitable emotion for this situation.
So the correct answer is (a): Anger.",0,"She had been reprimanded by her boss because of her client refusing her work multiple times. This is very frustrating and stressful. Momo loves dancing so much that she uses it as an escape from her stressful life. So when she arrived at the dance studio, she started dancing immediately to get rid of her frustration and stress.
最终的答案是：
(b)",1
"['Disapproval', 'Fear', 'Annoyance', 'Unbothered', 'Amusement', 'Nervousness']",4,"['He loves traffic', 'He enjoys confrontations', 'The person shouting at him turned out to be his dad', 'He enjoys being called a bad driver.']",2,"Andre is initially annoyed because of the traffic jam. When he realizes it's his father, he feels fear or anxiety as he might get into an argument with his father. He also feels nervousness since he doesn't know how his father will react. Finally, he might feel some amusement due to the irony of the situation.
Therefore, the correct answer is (e) Amusement.",4,"He loves traffic because it is an unnecessary waste of time.
He enjoys a confrontation because it is an unnecessary waste of energy.
The person who shouted at him turned out to be his father, which is not fun.
He enjoys being called a bad driver because it is an unnecessary insult.",0,"The most important thing is to analyze the information provided in the problem. The main idea is that Andre was stuck in traffic, and his father shouted at him because he thought he was a bad driver. This means that Andre will be angry or disappointed with his father's behavior.
Based on this analysis, we can conclude that Andre's final emotions will be anger or disappointment.
Therefore, the correct answer is (a), disapproval.",0,Andre felt disapproval because he was confronted by his father who shouted at him for being a bad driver.,-1,"The most important thing is to understand the context and the main character's emotions. The story tells us that Andre was stuck in traffic and was yelled at by his father. This means that there must be some emotional reactions in this situation.
From the given choices, we can find that (a) disapproval, (b) fear, (c) annoyance, (d) unbothered, (e) amusement, and (f) nervousness.
We know that Andre felt annoyed because his father yelled at him. So, the correct answer should be (c) Annoyance.",2,"Andre felt annoyed because he didn't want to be stuck in traffic and also because someone was accusing him of being a bad driver without even knowing him. Moreover, he felt angry because he had to deal with an unpleasant situation with his father.",-1,Andre felt disaproval because his father was accusing him of being a bad driver.,-1,Andre felt nervous because he didn't know how his father would react.,-1,"The first thing I need to do is understand the situation. Andre was stuck in traffic when someone started shouting at him for being a bad driver. He then realized it was his dad. So now we know that Andre was stuck in traffic, he was yelled at by his dad, and he confronted his dad.
Now let's think about the emotions that could potentially come up in this situation. There's disapproval, fear, annoyance, unbothered, amusement, and nervousness. Let's break these down one by one.
- Disapproval: This is when someone doesn't agree with or like something. In this case, Andre might feel disapproval if he thinks his dad is wrong about him being a bad driver. But since he confronted his dad, it seems like he doesn't agree with what his dad is saying.
- Fear: This is an intense, often physical, reaction to something that causes anxiety or worry. It doesn't really make sense in this situation because Andre isn't afraid of his dad.
- Annoyance: This is when someone is irritated or annoyed by something. It also doesn't really fit in this situation because Andre is more likely to be upset with his dad than annoyed.
- Unbothered: This is when someone isn't bothered or affected by something. It also doesn't really make sense in this situation because Andre would definitely be affected by his dad yelling at him.
- Amusement: This is when someone finds something funny or amusing. It doesn't fit in this situation because Andre wouldn't be laughing at his dad yelling at him.
- Nervousness: This is when someone is feeling anxious or nervous. It also doesn't really fit in this situation because Andre isn't nervous about his dad yelling at him.
Based on all of this, the only emotion that could potentially come up in this situation is anger. Andre might be angry with his dad for yelling at him, especially since they're related. So the answer is (c) Annoyance.",2,Andre felt annoyed because he didn't like being accused of being a bad driver.,-1
"['Gratitude', 'Jealousy', 'Annoyance', 'Nervousness', 'Anger', 'Disappointment']",4,"['I found out his friend talks badly about me behind his back', ""I wasn't invited to the birthday party"", 'I am always excluded from parties', ""My friend didn't tell me about the party in advance""]",0,Anger because of being betrayed and insulted.,4,The fact that he talks badly about me behind my back is an insult to me as a person. This makes me feel disappointed because it means he doesn't respect me or value our friendship.,-1,Anger because of being betrayed by friends.,4,"He is talking bad about me so I will be disappointed.
Answer: (a)",0,"Annoyed is an angry feeling that comes from being irritated or vexed.
最终答案：（e）。",4,"The first sentence said that I was annoyed because my friend did not invite me to his birthday party. The second sentence said that I discovered that my friend talked bad about me behind my back. So, I felt disappointed because I was not invited to the birthday party, but more importantly, I felt disappointed because my friend talked bad about me behind my back.
所以，答案是：
(b)",1,Anger because of being betrayed and insulted.,4,"The fact that he talks badly about me behind my back is more likely to make me feel disappointed than the fact that he doesn't invite me to the birthday party or excludes me from the party.
Therefore, the correct answer should be (a).",0,"Anger is an emotional response to a perceived violation of our needs or expectations. In this case, you were violated when your friend did not invite you to his birthday party and also talked badly about you behind your back to others.
最终答案：(e)",4,"The fact that he talks badly about me behind my back is more likely to make me angry than the fact that I wasn't invited or excluded.
Therefore, the correct answer should be (a).",0
"['Hopeful', 'Hopeless', 'Disapproval', 'Fear', 'Embarrassment', 'Gratitude']",0,"['His boss will always criticize him', 'His boss praised his effort', 'He loved presenting his ideas to the team.', 'He used the criticism to improve his idea']",3,"The boss' criticism is harsh but it helps him realize how to improve his idea. So, he will be grateful for the feedback.
Answer: (f)",5,"Julius felt grateful because his boss' harsh feedback was what he needed to improve. This means that his boss is helping him grow as an employee.
因此，答案是：
(d)",3,"Julius felt disappointed when his boss brutally criticized him. However, after analyzing the criticism and realizing it was necessary, he felt grateful because he knew he could learn from it.
最终答案：(f)",5,"The boss is harshly criticizing Julius' work, which means he didn't like it. However, he realizes that this criticism is what he needs to improve himself. This means that he appreciates the criticism and feels grateful because he can learn from it.
Therefore, the correct answer is (d).",3,"Julius was initially excited but then his boss' criticism made him feel embarrassed. He realized that he needed to improve so he felt grateful for the feedback. This harsh feedback was what he needed to improve so he felt hopeful.
Answer: (f)",5,"His boss is praising him because he recognized his lack of detail and clarity as an opportunity to improve. This means that he thinks it's possible to fix the problem and make the idea better.
因此，答案是：
(d)",3,"Julius was initially excited but then his boss' criticism made him feel disappointed and frustrated. However, after analyzing his boss' comment and realizing it was what he needed to improve, he felt grateful.
最终答案：(f)",5,"His boss brutally criticized his lack of detail and clarity. This means that his boss did not like his presentation. However, Julius realized that this harsh feedback was what he needed to improve. So, he felt gratitude because his boss gave him constructive criticism.
最终答案：(d)",3,"The boss' criticism is harsh but it helps Julius realize where he needs improvement. This means that he will be grateful for the feedback because it will help him make his ideas better.
最终答案：(f)",5,"Julius felt grateful because his boss' harsh feedback was what he needed to improve. This means that his boss is helping him grow as an employee.
因此，答案是：
(d)",3
"['Sadness', 'Jealousy', 'Embarrassment', 'Pride', 'Delight', 'Disappointment']",4,"[""His parents skipped his younger brother's baseball game to attend his awards ceremony"", ""His parents managed to attend both his ceremony and his brother's baseball game"", 'His flawless academic record has brought him a lot of satisfaction', 'He was alone on the stage and liked the attention.']",0,"The boy was ignored by his parents but still got an excellent academic record. He felt proud of it. When his parents didn't attend his award ceremony because of his brother's game, he felt sad. When he saw them in the audience, he felt disappointed. Finally, he felt pride again when he stood on the stage.
So the final emotion is pride.",3,"His parents told him they'd be skipping his awards ceremony for his younger brother's baseball game. This means that his parents didn't go to his awards ceremony.
因此，答案是：
(a)",0,Liam felt sadness because his parents didn't attend his award ceremony.,0,He felt disappointment because his parents didn't go to his awards ceremony but went to his brother's baseball game.,-1,Liam felt sadness because he was not happy that his parents were not at the awards ceremony. He also felt disappointment because he thought his parents would be there.,0,"His parents didn't come to his awards ceremony because they were attending his brother's baseball game. This makes Liam feel disappointed.
最终的答案是：
(a)",0,"The boy was looking at his parents who were sitting in the first row, smiling and applauding for him. This means that his parents care about him and appreciate what he has done. So, I think the final emotion of Liam will be pride because he knows that he has achieved something good and his parents recognize it.
最终答案：(d)",3,"He felt pride because despite his parents missing his awards ceremony due to his brother's baseball game, they still made time to come and support him. This shows that his parents value his achievements and recognize his hard work.",-1,Liam felt sadness because his parents didn't attend his award ceremony.,0,"His parents didn't come to his awards ceremony because they were attending his brother's baseball game. This makes Liam feel disappointed.
最终的答案是：
(a)",0
"['Remorse', 'Pessimism', 'Delight', 'Disappointment', 'Anticipation', 'Anger']",2,"['He has a new camera', 'He finally gets to take pictures of the bird he was looking for', 'He enjoys sitting on a tree branch.', 'He just likes sitting outside']",1,"Joe was disappointed when he couldn't get a picture of the bird because it flew away. But then the bird came back so he felt delight.
Therefore, the correct answer is (d) disappointment.",3,"The bird flew away so it's not possible to take a picture of it. This means that Joe will be disappointed because he couldn't take a picture of the bird.
Therefore, the correct answer is (b), because Joe finally got to take a picture of the bird he was looking for.",1,"Joe was delighted when he saw the bluebird because it was a rare bird that he had been trying to see for some time. When the bird flew away, Joe might have felt disappointed or sad that he didn't get a chance to take a picture of the bird. However, when the bird came back, Joe might feel a sense of relief and anticipation since he got another chance to photograph the bird.
最终答案：(e)",4,"Joe was anticipating seeing the rare bluebird for months. Finally, he saw it and was delighted. Then, when he tried to take a picture, it flew away. When it came back, he felt disappointed because he couldn't take a picture. But then he felt hopeful that it might stay long enough for him to take a picture.
So, the correct answer is (b), because it's the only emotion that's mentioned twice in the story – once when he sees the bird and again when it flies away and comes back. Anticipation and disappointment are both feelings that come from the bird's behavior, while delight and enjoyment are feelings that come from the experience of seeing the bird itself.",1,"The bird flew away so Joe felt disappointment. Then it came back again so he felt delight.
最终的答案是：
(c)",2,"The bird that Joe saw before flying away was a rare type of bird, which he had been trying to find for some time. When it came back, he felt relieved because he got another chance to photograph it.
所以，答案是：
(b)",1,"The bird flew away so Joe couldn't take a picture of it. This makes him disappointed. But then the bird came back so he got excited again. Finally, when he saw the bird on the branch, he felt delighted.
Answer: (c) Delight",2,"The bird that Joe saw flew away when he tried to take a photo of it. Later, the bird came back and was sitting on an empty branch again. This means that Joe missed the opportunity to take a photo of the bird because it flew away.
Therefore, the correct answer is (b), because Joe felt delight because he finally got to take photos of the bluebird after searching for it for months.",1,"The bird flew away so Joe felt disappointment. Then it came back so he felt delight. The final emotion will be delight because the bird came back.
Answer: (c) Delight",2,"He finally gets to take pictures of the bird he was looking for so he feels delight.
最终的答案是：
(b)",1
