Emo Choices,Emo Label,Cause Choices,Cause Label,Emo Res 1,Emo Pred 1,Cause Res 1,Cause Pred 1,Emo Res 2,Emo Pred 2,Cause Res 2,Cause Pred 2,Emo Res 3,Emo Pred 3,Cause Res 3,Cause Pred 3,Emo Res 4,Emo Pred 4,Cause Res 4,Cause Pred 4,Emo Res 5,Emo Pred 5,Cause Res 5,Cause Pred 5
"['Disappointment', 'Anger', 'Pride', 'Delight', 'Embarrassment', 'Hopeless']",3,"['Her daughter enjoyed the Baklava despite it being ruined', 'She thought her Baklava was perfect', 'Her daughter just arrived home', 'The Baklava was not ruined']",0,"(c) Pride. 

Even though the Baklava was ruined, Dorea's daughter approved of it, indicating that the effort put into making it was appreciated. This could lead Dorea to feel proud of her efforts, despite the outcome.",2,(a) Her daughter enjoyed the Baklava despite it being ruined,0,(a) Disappointment,0,(a) Her daughter enjoyed the Baklava despite it being ruined.,0,(a) Disappointment,0,(a) Her daughter enjoyed the Baklava despite it being ruined,0,"I'm sorry, but based on the given scenario, it is not clear what emotion(s) Dorea would ultimately feel. While she may be disappointed or embarrassed by the ruined Baklava, there is no indication of anger, pride, delight, or hopeless feelings. The information provided does not allow me to accurately determine Dorea's emotional state.",1,(a) Her daughter enjoyed the Baklava despite it being ruined,0,(a) Disappointment,0,(a) Her daughter enjoyed the Baklava despite it being ruined.,0
"['Disappointment', 'Anger', 'Delight', 'Hopeless', 'Pride', 'Embarrassment']",2,"['His wife appreciated his effort despite noticing the mistake', 'His wife appreciated his effort and liked his portrait', 'He thought he had painted the perfect portrait', 'He made a mistake in a painting he cared about']",1,(b) Anger,1,(d) He made a mistake in a painting he cared about.,3,"The most appropriate emotion for Simon in this situation would be (f) embarrassment. Despite his hard work and dedication, he made a mistake in his painting, which would likely make him feel embarrassed or self-conscious. His wife's comment may have brought some relief, but overall, Simon's emotions would likely center around his mistake rather than any positive feelings.",5,(d) He made a mistake in a painting he cared about.,3,(f) Embarrassment,5,(d) He made a mistake in a painting he cared about.,3,(a) Disappointment,0,(d) He made a mistake in a painting he cared about.,3,(f) Embarrassment.,5,(d) He made a mistake in a painting he cared about.,3
"['Gratitude & Joy', 'Embarrassment & Sadness', 'Embarrassment & Anger', 'Sadness & Anger', 'Gratitude & Anger', 'Embarrassment & Joy']",0,"['His boss showed up and praised his work', 'His coworkers disliked his artwork', 'Nobody from work showed up', ""He didn't like his own drawings""]",0,(a) Gratitude & Joy,0,(a) His boss showed up and praised his work,0,(a) Gratitude & Joy,0,(a) His boss showed up and praised his work.,0,(a) Gratitude & Joy,0,(a),0,(a) Gratitude & Joy,0,(a),0,(a) Gratitude & Joy,0,(a) His boss showed up and praised his work,0
"['Guilt', 'Disapproval', 'Delight', 'Embarrassment', 'Jealousy', 'Nervousness']",2,"['He was named in the top 6', 'He proved his father right', 'His father was going to buy him a new laptop', 'Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5']",3,"The correct answer is (a) Guilt.

Albert may feel guilty because he did not manage to achieve the goal that he set for himself, despite putting in effort. Additionally, the fact that another contestant cheated and was disqualified may make Albert feel even more disappointed in himself for falling short.",0,"The correct answer is (d). Albert would feel guilt because one of the top 5 contestants cheated and was disqualified, which put him in the top 5 despite falling short of the original goal set by his dad. This means that he did not earn the new laptop through his own efforts, and may feel like he let down his father.",3,"Based on the scenario provided, Albert would ultimately feel (d) embarrassment in this situation.",3,"(d) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5.",3,(a) Guilt.,0,"(d) Because one of the top 5 contestants cheated and was disqualified, this put him in the top 5.",3,(d) Embarrassment.,3,"The correct answer is (d). Albert would feel embarrassed because one of the top 5 contestants cheated and was disqualified, which means that he was moved from being in the top 5 to being in the top 4, putting him ahead of himself and making him look better than he actually was. This realization would likely cause him embarrassment.",3,(a) Guilt,0,"The correct answer is (c). Albert feels guilty because his father made a deal with him and promised to buy him a new laptop if he graduated in the top 5, but now that he has fallen short of the list and is ranked 6, he will not receive the laptop. This means that Albert did not fulfill his end of the bargain, which may cause him to feel regretful or disappointed.",2
"['Anger', 'Relief', 'Amusement', 'Hopeless', 'Sadness', 'Guilt']",1,"['She was able to dance away her frustration and stress', ""She finally satisfied her client's expectation"", 'She got praised by her boss', 'Her client accepted her work after many changes.']",0,(a) Anger,0,(a) She was able to dance away her frustration and stress.,0,"Based on the given scenario, Momo's initial reaction was to scream after her client refused her work multiple times and then again when she arrived at the dance studio. She then closed her eyes and nodded to herself in the mirror. These actions suggest that Momo is feeling overwhelmed and stressed, which could lead to emotions such as anger, sadness, or hopelessness. Therefore, the most appropriate choice would be (d) Hopeless.",3,(a) She was able to dance away her frustration and stress.,0,(a) Anger,0,(a) She was able to dance away her frustration and stress.,0,"Based on the given scenario, Momo ultimately feels (a) anger and (b) relief. 

Momo is angry because her client refused her work multiple times, which led to her being reprimanded by her boss. This event is likely causing her stress and frustration. 

Momo also feels relieved after dancing, as she was able to release her emotions through movement. Dancing can be a form of self-expression and can help individuals cope with stress and negative emotions.",0,(a) She was able to dance away her frustration and stress.,0,(a) Anger,0,(a) She was able to dance away her frustration and stress.,0
"['Disapproval', 'Amusement', 'Fear', 'Nervousness', 'Annoyance', 'Unbothered']",1,"['He enjoys being called a bad driver.', 'He enjoys confrontations', 'He loves traffic', 'The person shouting at him turned out to be his dad']",3,(a) Disapproval,0,(d) The person shouting at him turned out to be his dad.,3,(a) Disapproval,0,(d) The person shouting at him turned out to be his dad.,3,(f) Unbothered.,5,(d) The person shouting at him turned out to be his dad.,3,(a) Disapproval,0,(d) The person shouting at him turned out to be his dad.,3,(a) Disapproval,0,(d) The person shouting at him turned out to be his dad.,3
"['Jealousy', 'Anger', 'Disappointment', 'Annoyance', 'Gratitude', 'Nervousness']",1,"['I found out his friend talks badly about me behind his back', ""I wasn't invited to the birthday party"", ""My friend didn't tell me about the party in advance"", 'I am always excluded from parties']",0,(b) Anger,1,(b) I wasn't invited to the birthday party,1,The correct answer is (b) Anger.,1,(a),0,(b) Anger,1,(b) I wasn't invited to the birthday party.,1,(b) Anger,1,(b) I wasn't invited to the birthday party,1,(b) Anger.,1,(a) I found out his friend talks badly about me behind his back.,0
"['Fear', 'Embarrassment', 'Hopeful', 'Hopeless', 'Gratitude', 'Disapproval']",2,"['He used the criticism to improve his idea', 'His boss praised his effort', 'His boss will always criticize him', 'He loved presenting his ideas to the team.']",0,(c) Hopeful,2,(a) He used the criticism to improve his idea.,0,"(c) Hopeful. 

Julius feels hopeful because he realizes that his boss's criticism is valuable feedback that can help him improve his presentation and refine his ideas.",2,(a) He used the criticism to improve his idea.,0,(c) Hopeful.,2,(a) He used the criticism to improve his idea.,0,(c) Hopeful,2,(a) He used the criticism to improve his idea.,0,(c) Hopeful,2,(a) He used the criticism to improve his idea.,0
"['Embarrassment', 'Pride', 'Jealousy', 'Sadness', 'Delight', 'Disappointment']",4,"[""His parents managed to attend both his ceremony and his brother's baseball game"", ""His parents skipped his younger brother's baseball game to attend his awards ceremony"", 'His flawless academic record has brought him a lot of satisfaction', 'He was alone on the stage and liked the attention.']",1,(b) Pride.,1,(c) His flawless academic record has brought him a lot of satisfaction.,2,(b) Pride,1,(c) His flawless academic record has brought him a lot of satisfaction.,2,(b) Pride,1,(c) His flawless academic record has brought him a lot of satisfaction.,2,(b) Pride,1,(c) His flawless academic record has brought him a lot of satisfaction.,2,(b) Pride,1,(c) His flawless academic record has brought him a lot of satisfaction.,2
"['Disappointment', 'Anger', 'Remorse', 'Delight', 'Pessimism', 'Anticipation']",3,"['He finally gets to take pictures of the bird he was looking for', 'He has a new camera', 'He just likes sitting outside', 'He enjoys sitting on a tree branch.']",0,"The correct answer is (d) Delight.

Explanation: 
In this scenario, Joe finally spots the rare bluebird after months of attempting to do so, and he is delighted when it sits on a tree branch. When the bird flies away, Joe stays there staring at the empty branch, hoping that it will return. Therefore, Joe would ultimately feel delight upon spotting the bluebird and being able to take its photo.",3,(a) He finally gets to take pictures of the bird he was looking for.,0,"The correct answer is (d) Delight.

Joe would ultimately feel delight in this situation because after waiting for months to spot the rare bluebird, he was able to finally see it and get a glimpse of its beauty through his camera lens. Although he missed the opportunity to capture a photograph of the bird, the fact that it flew back meant that he had the chance to see it again. Therefore, his emotions would be positive and centered around excitement and happiness.",3,(a) He finally gets to take pictures of the bird he was looking for.,0,"The correct answer is (d) Delight.

As Joe finally spotted the rare bluebird after months of trying, he would likely feel thrilled and excited. The fact that the bird flew away initially could have caused him some disappointment or anxiety, but the bird returning made it all worth it. Therefore, the emotion he would ultimately feel in this situation would be delight.",0,(a) He finally gets to take pictures of the bird he was looking for.,0,"The answer is (d) Delight.

Reasoning: Joe finally saw the rare bluebird after months of searching and preparation. When he saw it again, he must have felt欣喜 and delighted that his efforts had paid off. Therefore, option (d) Delight is the correct answer.",3,(a) He finally gets to take pictures of the bird he was looking for.,0,(d) Delight,3,(a) He finally gets to take pictures of the bird he was looking for.,0
